newid,Undergrad School,Master's Degree School
582761,Oberlin College,"NA"
55511,Renmin University of China,"NA"
327796,University Of Georgia,University Of Georgia
252989,Baylor University,"NA"
856505,Ecole Polytechnique,Ecole Polytechnique
345445,Indiana University Bloomington,"NA"
198243,University of Tartu,Barcelona Graduate School of Economics
933790,George Washington University,University Of Texas At Austin
139161,"University Of California, Davis","NA"
610818,Georgetown University,"NA"
565211,Seoul National University,"NA"
873111,Trinity College,"NA"
816409,Wuhan University,"NA"
251281,Sciences Po: Institut D'etudes Politiques de Paris,Paris School of Economics
899259,Budapest University Of Economic Sciences,Institute for Advanced Studies
70852,"University Of California, Berkeley","NA"
657801,"University Of California, Berkeley","NA"
710542,Swarthmore College,"NA"
482238,University Of New South Wales,"NA"
258960,University Of Arkansas--Fayetteville,"NA"
778085,Chulalongkorn University,"NA"
429607,Brigham Young University,"NA"
429543,University Of Sao Paulo,Pontificia Universidade Catolica Do Rio De Janeiro
518474,Stanford University,"NA"
844863,The University of Hong Kong,"NA"
526593,University Of Zagreb,"NA"
981055,Universidad Nacional del Nordeste,Universidad De San Andres
569641,University Of Florida,"NA"
952055,Massachusetts Institute of Technology,University of London-London School of Economics & Political Sci
628517,University Of Virginia,Georgetown University
792272,Hillsdale College,Montana State University
966831,University Of Pennsylvania,"NA"
216590,Universidad Del Pacifico,Universidad Del Pacifico
141451,Universidad Nacional De Asuncion,University of Illinois at Chicago
836132,Universidad De Costa Rica,"NA"
259640,Universita Bocconi,Universita Bocconi
602760,Gettysburg College,"NA"
974185,National Research University Higher School of Economics,Centro De Estudios Monetarios Y Financieros
818259,University Of Copenhagen,University Of Copenhagen
140759,Western Kentucky University,"NA"
546791,Pontificia Universidade Catolica Do Rio De Janeiro,Pontificia Universidade Catolica Do Rio De Janeiro
26900,M.V. Lomonosov Moscow State University,"NA"
787234,Brown University,"NA"
620634,University Of Tulsa,University Of Tulsa
82920,Brown University,"NA"
738650,Washburn University Of Topeka,"NA"
670119,Northwestern University,"NA"
256952,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
75089,Michigan State University,"NA"
615657,National Taiwan University,Johns Hopkins University
371045,Peking University,"NA"
43143,University Of Michigan--Ann Arbor,Pepperdine University
681152,Isfahan University of Technology,Sharif University of Technology
974442,"NA",Ecole Nationale de la Statistique et de l'Admin Economique
413589,University Of Warwick,University of London-London School of Economics & Political Sci
882332,Ohio State University,"NA"
925600,Oberlin College,"NA"
929280,Brandeis University,"NA"
594512,Michigan Technological University,Massachusetts Institute of Technology
375841,Trinity College,"NA"
878172,Lycee louis Le Grand,Ecole Polytechnique
29356,University Of Tehran,Texas Tech University
908815,Instituto Tecnologico Autonomo de Mexico,"NA"
597100,Brown University,"NA"
692750,Boston College,"NA"
156726,"Indian Institute of Technology, Madras",Indian Statistical Institute
821845,University Of Alabama In Huntsville,"NA"
304510,Texas A&M University,"NA"
879417,Queen's University,University of Calgary
661048,Brown University,Boston University
69806,University Of Pennsylvania,University Of Pennsylvania
700504,"Rutgers, The State University Of New Jersey","NA"
82914,American University of Sharjah,Murdoch University
142571,University Of Toronto Schools,"NA"
996510,Manhattan College,"NA"
269195,Universita Commerciale 'luigi Bocconi',University of Bologna
525812,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
695528,Monash University,"NA"
502670,University Of Oxford,University of London-London School of Economics & Political Sci
118368,"University Of California, Los Angeles",University Of Chicago
835539,Swarthmore College,"NA"
461672,Zhejiang University,London School of Economics and Political Science
666840,University Of Chicago,"NA"
756143,Sabanci University,Sabanci University
320503,Universidad De Chile,Universidad De Chile
862876,University Of Michigan--Ann Arbor,"NA"
965123,California Polytechnic State University,"NA"
525514,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITE,El Colegio De Mexico
151160,Sharif University Of Technology,Shahid Beheshti University
103731,Instituto Tecnologico Autonomo de Mexico,"NA"
167942,Columbia University,"NA"
913733,Nanjing University of Posts & Telecommunications,Kansas State University
834796,"NA",Paris School of Economics
611287,National University of Sciences and Technology,"NA"
91689,Swarthmore College,"NA"
932573,Harvard College,University College London
828537,"Rutgers, The State Univerisity of New Jersey-New Brunswick","NA"
914066,Shandong Normal University,Georgetown University
42919,St. Xavier's College,"NA"
883726,Chonbuk National University,Chonbuk National University
843572,Budapest University Of Economic Sciences,Universidad Pompeu Fabra
323081,University of Nottingham Malaysia Campus,University Of Nottingham
900978,Washington University in St Louis,"NA"
83251,Emory University,"NA"
519171,University Of Hong Kong,"NA"
155647,Laval University,Laval University
962410,Hong Kong University Of Science And Technology,Chinese University Of Hong Kong
742253,Colorado State University,"NA"
776694,Universidad de Piura,Universidad Del Pacifico
748304,Stanford University,"NA"
738889,Brigham Young University,"NA"
880081,"University Of California, Berkeley","NA"
475578,University Of Notre Dame,"NA"
188539,Georgetown University,"NA"
18199,Fudan University,Columbia University
451674,Nankai University,"NA"
743637,Swarthmore College,"NA"
191313,Universita Degli Studi Di Pavia,University Of Cambridge-Peterhouse
565525,Tianjin University of Finance and Economics,"NA"
637154,Fundacao Getulio Vargas,"Graduate School Of Economics, Getulio Vargas Fndn."
985213,"NA",Barcelona Graduate School of Economics
307427,Central University Of Finance And Economics,Universite Toulouse I
24422,"University Of California, Berkeley","NA"
758061,National University Of Singapore,"NA"
165519,Novosibirsk State Technical University,Humboldt University
472439,College Of William And Mary In Virginia,"NA"
872328,University Of Missouri--Columbia,University Of Missouri--Columbia
772370,Jilin univerisity,State University Of New York At Buffalo
653419,Bryn Mawr College,"NA"
352310,University Of Windsor,"NA"
496779,American University,"NA"
785443,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
360805,"University Of California, Berkeley",Montana State University
182063,Princeton University,"NA"
932751,"University Of California, Los Angeles","NA"
941208,Universidad Del Pacifico,Universidad Del Pacifico
123397,Nanyang Technological University,University Of Michigan--Ann Arbor
501503,University Of Chicago,University College London
982137,Bandung Institute Of Technology,Duke University
232954,"NA",National Research University Higher School of Economics
181259,Brown University,"NA"
836303,Babson College,Duke University
996448,Xavier University,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies
711085,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella
190217,Lehigh University,"NA"
844047,Williams College,"NA"
569165,Colby College,"NA"
963312,Colby College,"NA"
969102,"St. Xavier's College, Kolkata",Presidency University
411225,University of Oxford-Balliol College,Massachusetts Institute of Technology
181517,Seoul National University,Seoul National University
763979,American University of Central Asia,Illinois State University
172717,Peking University,Institut D'etudes Politiques
188161,Federal University of Rio de Janeiro,"Graduate School Of Economics, Getulio Vargas Fndn."
818343,Lahore University Management  Science,"NA"
971383,Huazhong University Of Science And Technology,Peking University
310783,University Of Chicago,"NA"
652950,University Of London,"NA"
886070,Universidad Catolica Boliviana,Universidad De Chile
266072,"NA",Ecole Polytechnique
23017,Renmin University of China,Renmin University of China
950545,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
631974,Peking University,"NA"
473517,Amherst College,University Of New South Wales
540936,Middlebury College,Bogazici University
464510,Indiana University Bloomington,"NA"
693561,Peking University,Chinese University Of Hong Kong
456539,University of London-London School of Economics & Political Sci,"NA"
324517,"Graduate School Of Economics, Getulio Vargas Fndn.","Graduate School Of Economics, Getulio Vargas Fndn."
548888,Brigham Young University,"NA"
914340,Bogazici University,Bogazici University
775935,"University Of California, Los Angeles",University Of Chicago
215547,St. Olaf College,Barcelona Graduate School of Economics
525669,Moscow State University,New Economic School
463259,Universidad De Chile,Universidad De Chile
239020,Seoul National University,Seoul National University
610157,Moscow Institute Of Physics & Technology,State University - Higher School of Economics
467964,University Of Pennsylvania,"NA"
514892,Tsinghua University,New York University
261744,University Of Mannheim,Universidad Pompeu Fabra
34919,Korea Advanced Institute Of Science And Technology,Seoul National University
820709,State University - Higher School of Economics,New Economic School
272442,University Of Rochester,"NA"
608725,Jilin University,"NA"
356885,Tilburg University,University Of Cambridge
386597,University Of Chicago,"NA"
953222,National Economics University,University of London-London School of Economics & Political Sci
508751,Lehigh University,"NA"
366850,"Indian Institute Of Technology, Kharagpur",University of London-London School of Economics & Political Sci
266437,Tongji University,"NA"
801813,Hillsdale College,Montana State University
669185,Seoul National University,"NA"
40304,Cairo University,Duke University
74564,University Of Moratuwa,"Postgradaute Institute of Management, University of Sri Jayeward"
338650,"NA","NA"
707034,Tel Aviv University,Humboldt University in Berlin
712642,Lehigh University,"NA"
833936,Massachusetts Institute of Technology,"NA"
348408,Universidad De Costa Rica,"NA"
406563,Universita Degli Studi Di Parma,Universita Degli Studi Di Modena
322650,McGill University,University Of British Columbia
987515,Yale University,"NA"
708633,University Of Wyoming,University of London-London School of Economics & Political Sci
809228,Brown University,"NA"
142967,Ohio State University,Ohio State University
528780,University Of Southern California,University Of Southern California
518339,University Of Oslo,University Of Oslo
983879,Renmin University of China,Columbia University
677445,Ohio State University,"NA"
641502,ITAM Instituto Tecnologico Autonomo de Mexico,"NA"
517794,Cornell University,"NA"
838370,Frankfurt School of Finance & Management,"NA"
879004,University Of Sao Paulo,University College London
26981,University Of Nebraska--Lincoln,University Of Nebraska--Lincoln
16755,University Of Hong Kong,Duke University
505094,Pomona College,Harvard University
503309,University Of International Business & Economics,"NA"
663925,Universitat Zurich,Barcelona Graduate School of Economics
658333,Tsinghua University,"NA"
556816,West Virginia University,"NA"
807013,University Of Chicago,"NA"
635126,Yeshiva University,Columbia University
539043,Sciences Po: Institut D'etudes Politiques de Paris,Sciences Po: Institut D'etudes Politiques de Paris
665944,University Of Delaware,"NA"
577769,University Of Tokyo,"NA"
813394,Pomona College,"NA"
386773,Johns Hopkins University,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies
256567,Fundacao Getulio Vargas - Escola de Economia de Sao Paulo,Universidade Nova De Lisboa
528817,University Of Michigan--Ann Arbor,"NA"
903960,University Of Montreal,University Of Montreal
268605,Warsaw School Of Economics,Warsaw School Of Economics
498812,Ludwig-Maximilians-University Munich,London School of Economics
391044,University Of Toronto,"NA"
892114,Central University Of Finance And Economics,Columbia University
779040,Claremont McKenna College,"NA"
672356,National Research University Higher School of Economics,National Research University Higher School of Economics
374895,University Of Chicago,"NA"
637323,University Of Virginia,"NA"
875291,Universidade De Brasilia,Pontificia Universidade Catolica Do Rio De Janeiro
886907,Yonsei University,Yonsei University
277147,Ohio State University,"NA"
261668,"University Of California, Berkeley",Waseda University
955127,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
217297,Harvard University,Harvard University
544475,University of Trier,University of Trier
629047,Southeast University,Capital University Of Economics And Business
365731,Princeton University,"NA"
572831,Princeton University,"NA"
87508,College Of Charleston,"NA"
378274,Instituto Tecnologico Autonomo de Mexico,"NA"
718706,New York University,"NA"
193306,Universita Degli Studi Di Modena,Universita Degli Studi Di Modena
414240,Cornell University,University of London-London School of Economics & Political Sci
317173,DePaul University,"NA"
482664,Hillsdale College,"NA"
803456,Tongji University,George Washington University
183264,University Of Rochester,"NA"
3830,Renmin University of China,Renmin University of China
828452,Dongbei University of Finance & Economics,"NA"
596980,University Of Pennsylvania,"NA"
812644,Seoul National University,Seoul National University
291011,Universidad Pompeu Fabra,Barcelona Graduate School of Economics
851430,Lake Forest College,"NA"
