,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
700,596980,University Of Pennsylvania,University of Pennsylvania,,
701,812644,Seoul National University,Seoul National University,Seoul National University,Seoul National University
702,291011,Universidad Pompeu Fabra,Universitat Pompeu Fabra,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
703,851430,Lake Forest College,Lake Forest College,,
704,629087,Cornell University,Cornell University,,
705,94382,"University Of California, Berkeley","University of California, Berkeley",,
706,511968,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
707,202582,University Of Texas At Austin,University of Texas,,
708,420784,"University Of California, Los Angeles","University of California, Los Angeles",University Of Michigan--Ann Arbor,University of Michigan
709,812968,"University Of California, Los Angeles","University of California, Los Angeles",University Of Chicago,University of Chicago
710,284265,Sophia University,Sophia University,University Of Tokyo,University of Tokyo
711,554517,Davidson College,Davidson College,,
712,755940,Westminster College,Westminster College Fulton,,
713,32710,University Of Delhi,University of Delhi,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
714,803709,Brown University,Brown University,Boston University,Boston University
715,642235,Koc University,Koc University,Koc University,Koc University
716,779161,Open University of Israel,Open University of Israel,Tel Aviv University,Tel Aviv University
717,209063,Ecole Normale Superieure D'ulm,Ecole Normale Supérieure de Lyon,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique
718,186056,Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT),,
719,639253,Harvard University,Harvard University,London School of Economics,London School of Economics and Political Science
720,893513,Tsinghua University,Tsinghua University,,
721,671745,Thammasat University,Thammasat University,University Of Durham,University of Durham
722,772340,University of Minnesota-Twin Cities,University of Minnesota,,
723,709786,Delhi University,University of Delhi,TERI University,Tenri University
724,479843,Brown University,Brown University,,
725,276514,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México
726,190295,"University Of California, Berkeley","University of California, Berkeley",,
727,531612,Ohio State University,Ohio State University,Ohio State University,Ohio State University
728,678625,Stanford University,Stanford University,Stanford University,Stanford University
729,706219,Universite De Toulouse-Le-Mirail (toulouse Ii),Université de Toulouse-le-Mirail (Toulouse II),University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
730,599393,National Chengchi University,National Chengchi University,,
731,923933,McGill University,McGill University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
732,537100,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile
733,621128,Korea University,Korea University,,
734,885729,Vassar College,Vassar College,,
735,701977,National Taiwan University,National Taiwan University,Columbia University,Columbia University
736,136067,Michigan State University,Michigan State University,,
737,412429,Universidad Del Pais Vasco,Universidad del País Vasco,Centro De Estudios Monetarios Y Financieros,Centros de Estudios Monetarios y Financieros (CEMFI)
738,23974,University Of Virginia,University of Virginia,,
739,109070,University Of Michigan--Ann Arbor,University of Michigan,,
740,789552,Central University Of Finance And Economics,Central University of Finance and Economics,Boston University,Boston University
741,995237,,,Illinois State University,Illinois State University
742,849366,Ohio Wesleyan University,Ohio Wesleyan University,,
743,171637,Universidad De Costa Rica,Universidad de Costa Rica,Centro De Estudios Monetarios Y Financieros,Centros de Estudios Monetarios y Financieros (CEMFI)
744,425671,University Of Oregon,University of Oregon,,
745,224759,University Of Oxford-Pembroke College,University of Oxford - Pembroke College,,
746,817542,Queen's University,Queen's University,University Of Toronto,University of Toronto
747,249366,Harvard University,Harvard University,,
748,582720,Shri Ram College Of Commerce,Shri Ram College Of Commerce,University Of Oxford,University of Oxford
749,878963,Yonsei University,Yonsei University,Columbia University,Columbia University
750,215198,University Of Michigan--Ann Arbor,University of Michigan,,
751,632068,University Of Queensland,University of Queensland,,
752,252975,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México
753,488012,University Of Chicago,University of Chicago,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
754,274300,University Of North Carolina At Chapel Hill,University of North Carolina,,
755,75650,Ben-Gurion University Of The Negev,Ben-Gurion University of the Negev,Ben-Gurion University Of The Negev,Ben-Gurion University of the Negev
756,971151,Princeton University,Princeton University,,
757,116733,University Of Brasilia,Universidade de Brasília,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
758,844393,Knox College,Knox College,,
759,151636,Universita Degli Studi Di Torino,University of Turin,Collegio Carlo Alberto,Collegio Carlo Alberto
760,75759,Lanzhou University,Lanzhou University,Boston University,Boston University
761,556793,George Mason University,George Mason University,,
762,120307,Cornell University,Cornell University,,
763,446869,University Of Chicago,University of Chicago,,
764,334711,Brigham Young University,Brigham Young University,,
765,610384,Peking University,Peking University,,
766,316419,Pomona College,Pomona College,University Of Southern California,University of Southern California
767,922630,University Of Warwick,University of Warwick,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
768,154017,Tsinghua University,Tsinghua University,,
769,947727,Tsinghua University,Tsinghua University,Yale University,Yale University
770,891521,Tufts University,Tufts University,Tufts University,Tufts University
771,296775,Duke University,Duke University,Harvard University,Harvard University
772,690656,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
773,928416,"University Of California, Los Angeles","University of California, Los Angeles",,
774,243414,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,,
775,606841,Universita Degli Studi Di Napoli,University of Naples Federico II,Universita Degli Studi Di Napoli,University of Naples Federico II
776,271685,Rice University,Rice University,,
777,196647,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
778,563200,"University Of California, Berkeley","University of California, Berkeley",,
779,848472,Washington University in St. Louis,Washington University in St. Louis,,
780,310529,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,,
781,170506,University Of Massachusetts At Boston,University of Massachusetts at Boston,,
782,70965,"Imperial College Of Science, Technology & Medicine",Imperial College London,Columbia University,Columbia University
783,389900,Lycee louis Le Grand,Lycee louis Le Grand,Ecole Polytechnique,Ecole Polytechnique
784,400827,Universita Degli Studi Di Milano,University of Milan,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
785,750220,City University Of New York,City University of New York,University Of Chicago,University of Chicago
786,300524,VIT University (Vellore Institute of Technology),Vellore Institute of Technology,,
787,930535,Wuhan University,Wuhan University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
788,842811,Jilin University,Jilin University,,
789,18263,Boston University,Boston University,,
790,194066,Peking University,Peking University,,
791,363209,University Of Washington,University of Washington,,
792,140465,Quinnipiac College,Quinnipiac College,,
793,639567,Foreign Trade University,Foreign Trade University,"California State University, Hayward","California State University, Hayward"
794,183918,Sharif University Of Technology,Sharif University of Technology,Sharif University Of Technology,Sharif University of Technology
795,695599,Tsinghua University,Tsinghua University,,
796,422024,"University Of California, Berkeley","University of California, Berkeley",University College London,University College London
797,232973,National Research University Higher School of Economics,Higher School of Economics,University Of Warwick,University of Warwick
798,778290,Beloit College,Beloit College,,
799,934257,Princeton University,Princeton University,,
800,528485,Plymouth State University,Plymouth State College,,
801,355757,University Of Western Ontario,University of Western Ontario,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
802,840583,Pomona College,Pomona College,,
803,427123,University Of Pennsylvania,University of Pennsylvania,Vrije Universiteit Brussel,Vrije Universiteit Brussel
804,873826,Australian National University,Australian National University,,
805,179887,Pontificia Universidad Javeriana Cali,Pontificia Universidad Javeriana,Universidad De Los Andes,Universidad de Los Andes
806,958127,Mount Holyoke College,Mount Holyoke College,,
807,237584,Martin Luther University,Martin-Luther Universität Halle-Wittenberg,Stockholm School Of Economics,Stockholm School of Economics
808,381065,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,National University Of Singapore,National University of Singapore
809,869448,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
810,78819,University Of Melbourne,University of Melbourne,University Of Melbourne,University of Melbourne
811,123056,"University Of California, Berkeley","University of California, Berkeley",,
812,538674,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
813,591613,,,"Indian Institute Of Technology, Kanpur","Indian Institute of Technology, Kanpur"
814,848948,University Of Minnesota--Minneapolis-St. Paul,University of Minnesota,,
815,406052,University Of Chicago,University of Chicago,,
816,988019,Chinese University Of Hong Kong,Chinese University of Hong Kong,,
817,555312,Universite Paris Dauphine (Paris IX),Université Paris-Dauphine (Paris IX),Universite Paris Dauphine (Paris IX),Université Paris-Dauphine (Paris IX)
818,263268,University Of Oklahoma,University of Oklahoma,,
819,350905,Universite De Paris I (pantheon-Sorbonne),Universite De Paris I (pantheon-Sorbonne),Ecoles Des Hautes Etudes En Sciences Sociales,Ecoles Des Hautes Etudes En Sciences Sociales
820,383343,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
821,440846,Seoul National University,Seoul National University,Seoul National University,Seoul National University
822,348790,Monash University,Monash University,Monash University,Monash University
823,289748,Universidade Estadual De Campinas,Universidade Estadual de Campinas,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
824,821675,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
825,552760,Yale University,Yale University,,
826,283411,University Of Cincinnati,University of Cincinnati,,
827,760784,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
828,919452,Seoul National University,Seoul National University,Seoul National University,Seoul National University
829,45028,University Of Pennsylvania,University of Pennsylvania,,
830,228875,,,"Indian Institute of Technology, Madras","Indian Institute of Technology, Madras"
831,19660,Cornell University,Cornell University,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid
832,138400,,,Ecole Superieure d'Electricite-SUPELEC,Ecole Centrale De Paris
833,975159,Lillehammer University College,Lillehammer University College,Norges Handelshoyskole,Norwegian School of Economics and Business Administration
834,244952,University of Dhaka,University of Dhaka,University of Dhaka,University of Dhaka
835,591564,Duke University,Duke University,University Of Toronto,University of Toronto
836,779375,Univ. Catolica 'nuestra Senora De La Asuncion',Universidad Católica Nuestra Senora de la Asunción,Instituto Torcuato Di Tella,Universidad Torcuato di Tella
837,603855,University Of Chicago,University of Chicago,,
838,522177,University Of Durham,University of Durham,,
839,857165,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
840,359352,University Of Washington,University of Washington,,
841,117226,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
842,174069,Wuhan University,Wuhan University,University College London,University College London
843,800582,Carroll University,Carroll University,,
844,467121,Peking University,Peking University,University Of Wisconsin-Madison,University of Wisconsin - Madison
845,817576,University Of Chicago,University of Chicago,,
846,674045,Universita Degli Studi Di Firenze,University of Florence,University of Bologna,University of Bologna
847,248478,Pomona College,Pomona College,,
848,387290,Boston University,Boston University,American University,American University
849,363378,Vanderbilt University,Vanderbilt University,,
850,666417,State University Of New York At Farmingdale,State University of New York College of Technology at Farmingdale,,
851,647894,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,Tel Aviv University,Tel Aviv University
852,194555,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
853,196480,Auburn University,Auburn University,,
854,621256,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,,
855,954745,Wesleyan University,Wesleyan University,,
856,534064,Babcock University,Babcock University,,
857,239846,National Technical University of Ukraine,National Technical University (Kiev Politechnical Institute),Kyiv School of Economics,Kiev School Of Economics
858,875213,B.M.S. College of Engineering,B.M.S. College of Engineering,Indira Gandhi National Open University,Indira Gandhi National Open University
859,984225,Zhejiang University,Zhejiang University,,
860,46356,Peking University,Peking University,,
861,189255,International Christian University,International Christian University,University Of Tokyo,University of Tokyo
862,675758,Illinois State University,Illinois State University,,
863,659765,East China Normal University,East China Normal University,University of Calgary,University of Calgary
864,767109,Universidade Federal Fluminense,Universidade Federal Fluminense,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
865,399577,Peking University,Peking University,University Of Wisconsin--Madison,University of Wisconsin - Madison
866,948051,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne
867,892610,Peking University,Peking University,,
868,143367,Wroclaw University of Economics,Wroclaw University of Economics,Wroclaw University of Technology,University of Technology
869,945278,Franklin And Marshall College,Franklin and Marshall College,,
870,299724,Athens University of Economics and Business,Athens University of Economics and Business,Athens University of Economics and Business,Athens University of Economics and Business
871,140179,Brigham Young University,Brigham Young University,,
872,969114,Brigham Young University,Brigham Young University,,
873,247988,University Of Sydney,University of Sydney,,
874,313123,Seton Hall University,Seton Hall University,,
875,827655,University Of Ottawa,University of Ottawa,Boston University,Boston University
876,169141,"Hunter College, City University Of New York",City University of New York - Hunter College,University Of Kansas,University of Kansas
877,899300,,,Paris School of Economics,Warsaw School of Economics
878,840302,Universitat Hamburg,Universität Hamburg,,
879,369063,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
880,786509,Amherst College,Amherst College,,
881,595507,New York University,New York University,,
882,380197,University of Ottawa,University of Ottawa,Queen's University,Queen's University
883,200454,Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT),,
884,841153,Ecole Nationale Des Ponts Et Chaussees,Ecole Nationale des Ponts et Chausees,Paris School of Economics,Warsaw School of Economics
885,972709,"Rutgers, The State University Of New Jersey",Rutgers University,,
886,881550,University Of Tennessee At Knoxville,University of Tennessee - Knoxville,,
887,240379,,,Boston University,Boston University
888,562304,Arizona State University,Arizona State University,,
889,889601,New  York University,New York University,,
890,846387,Universidad De Montevideo,Universidad de Montevideo,,
891,834390,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
892,775523,Peking University,Peking University,,
893,514576,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,,
894,898554,University Of Western Australia,University of Western Australia,University Of Western Australia,University of Western Australia
895,2895,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro,Fundacao Getulio Vargas,Fundação Getulio Vargas
896,271875,University Of Delhi,University of Delhi,University College London,University College London
897,300527,University Of Alberta,University of Alberta,University Of Alberta,University of Alberta
898,735237,Shanghai International Studies University,Shanghai International Studies University,Cornell University,Cornell University
899,317355,Indian Institute of Technology,Indiana Institute of Technologyy,Indian Institute of Management Ahmedabad,Indian Institute of Management Ahmedabad
900,639196,"Rutgers, The State University Of New Jersey",Rutgers University,,
901,182182,Grinnell College,Grinnell College,,
902,700528,University Of Southern California,University of Southern California,,
903,95372,Tianjin Foreign Studies University,Tianjin Foreign Studies University,Peking University,Peking University
904,542138,Princeton University,Princeton University,,
905,475113,Texas State University,Texas State University,Southern Methodist University,Southern Methodist University
906,986689,Australian National University,Australian National University,,
907,690505,University of California San Diego,"University of California, San Diego",,
908,94227,Northwestern University,Northwestern University,,
909,119279,The Interdisciplinary Center Herzliya,The Interdisciplinary Center Herzliya,,
910,916009,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
911,880844,Ibmec Sao Paulo,Ibmec Sao Paulo,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
912,183978,University Of Melbourne,University of Melbourne,University Of Melbourne,University of Melbourne
913,538885,University Of Pennsylvania,University of Pennsylvania,Georgetown University,Georgetown University
914,202563,Arizona State University,Arizona State University,,
915,912368,Higher School of Economics,Higher School of Economics,State University - Higher School of Economics,Higher School of Economics
916,144496,Seoul National University,Seoul National University,,
917,546511,University Of Texas At Austin,University of Texas,,
918,508076,University Of Mannheim,Universität Mannheim,University Of Mannheim,Universität Mannheim
