,newid,Undergrad School,Undergrad School_updated,Master's Degree School,Master's Degree School_updated
985,878886,University Of Chicago,University of Chicago,,
986,309445,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
987,948569,University Of Chicago,University of Chicago,,
988,127879,Wheaton College,Wheaton College Massachusetts,,
989,919111,Trinity College,Trinity College Connecticut,,
990,94956,University of Minnesota-Twin Cities,University of Minnesota,University Of Chicago,University of Chicago
991,516229,Northeastern University,Northeastern University,,
992,384578,Wuhan University,Wuhan University,New York University,New York University
993,19955,Wroclaw University of Economics,Wroclaw University of Economics,Wroclaw University of Technology,University of Technology
994,439970,Seoul National University,Seoul National University,Seoul National University,Seoul National University
995,993035,DePaul University,DePaul University,DePaul University,DePaul University
996,375590,Georgetown University,Georgetown University,,
997,563009,University Of Alabama In Tuscaloosa,University of Alabama - Tuscaloosa,University Of Chicago,University of Chicago
998,457846,Pomona College,Pomona College,,
999,257853,Anglia Polytechnic University,Polytechnic University,University Of Nottingham,University of Nottingham
1000,993179,Hampton University,Hampton University,"Columbia University, Barnard College",Columbia University - Barnard College
1001,83354,University Of Mannheim,Universität Mannheim,University Of Mannheim,Universität Mannheim
1002,842239,Wellesley College,Wellesley College,,
1003,752551,Universidad Pompeu Fabra,Universitat Pompeu Fabra,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1004,422248,University Of Queensland,University of Queensland,,
1005,646884,Oxford University,University of Oxford,Ecole Polytechnique,Ecole Polytechnique
1006,382385,Harvard University,Harvard University,,
1007,447590,Universidad Pompeu Fabra,Universitat Pompeu Fabra,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1008,190352,Renmin University of China,Renmin University of China,Tsinghua University,Tsinghua University
1009,119385,Texas Tech University,Texas Tech University,,
1010,752712,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile
1011,490737,University Of Oxford-St. Hilda's College,University of Oxford - St Hilda's College,,
1012,173284,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1013,716599,Beijing Institute Civil Engineering/architecture,Beijing Institute Civil Engineering/architecture,State University Of New York At Buffalo,State University of New York at Buffalo
1014,426360,University Of Hong Kong,University of Hong Kong,,
1015,289767,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Yale University,Yale University
1016,793726,Central University Of Finance And Economics,Central University of Finance and Economics,Toulouse school of Economics(M2),Toulouse school of Economics
1017,373952,Adolfo Ibanez University,Universidad Adolfo Ibáñez,Adolfo Ibanez University,Universidad Adolfo Ibáñez
1018,864197,Bard College,Bard College,,
1019,509984,,,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1020,96416,Athens School Of Economic And Business Sciences,Athens University of Economics and Business,,
1021,975436,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,Ecole Polytechnique,Ecole Polytechnique
1022,443356,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1023,331787,"Rutgers, The State University Of New Jersey",Rutgers University,,
1024,676439,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,Hebrew University Of Jerusalem,Hebrew University of Jerusalem
1025,265538,Peking University,Peking University,,
1026,783589,Haverford College,Haverford College,University Of Cambridge,University of Cambridge
1027,610615,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1028,260287,College Of William And Mary In Virginia,College of William and Mary,College Of William And Mary In Virginia,College of William and Mary
1029,79167,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1030,409299,Universidad De Los Andes,Universidad de Los Andes,Universidad De Los Andes,Universidad de Los Andes
1031,885525,Colgate University,Colgate University,,
1032,844116,Princeton University,Princeton University,,
1033,565684,Australian National University,Australian National University,,
1034,915606,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
1035,325148,Taylor University,Taylor University,,
1036,828011,University Of Michigan--Ann Arbor,University of Michigan,University Of Chicago,University of Chicago
1037,518349,Cornell University,Cornell University,,
1038,353148,University Of British Columbia,University of British Columbia,,
1039,48512,Peking University,Peking University,,
1040,659262,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1041,541075,University Of Delhi,University of Delhi,University of Oxford-Balliol College,University of Oxford - Balliol College
1042,976378,University Of Virginia,University of Virginia,,
1043,225778,"Calif. Polytechnic State Univ., San Luis Obispo",California Polytechnic State University - San Luis Obispo,,
1044,273832,Stanford University,Stanford University,Stanford University,Stanford University
1045,373919,Universidad Del Pacifico,Universidad del Pacifico,Universidad Del Pacifico,Universidad del Pacifico
1046,267708,National Taiwan University,National Taiwan University,National Taiwan University,National Taiwan University
1047,24987,Covenant University,Covenant University,University College London,University College London
1048,716642,ITESM -CCM,Tecnológico de Monterrey,Harvard University,Harvard University
1049,174831,Renmin University of China,Renmin University of China,New York University,New York University
1050,134092,University Of Maryland At College Park,University of Maryland - College Park,,
1051,252431,,,Paris School of Economics,Warsaw School of Economics
1052,39431,Tsinghua University,Tsinghua University,University Of Wisconsin-Madison,University of Wisconsin - Madison
1053,708442,Sichuan University,Sichuan University,Renmin University of China,Renmin University of China
1054,156487,University Of Waterloo,University of Waterloo,University Of Oxford,University of Oxford
1055,196562,Pomona College,Pomona College,,
1056,635165,Sharif University of Technology,Sharif University of Technology,Georgia Institute Of Technology,Georgia Institute of Technology
1057,41653,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,,
1058,984155,Victoria University Of Wellington,Victoria University of Wellington,,
1059,982412,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,,
1060,947524,University Of Sao Paulo,University Of Sao Paulo,Fundacao Getulio Vargas,Fundação Getulio Vargas
1061,587643,Universidad De Lima,Universidad de Lima,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro
1062,819070,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1063,484156,"University Of California, Berkeley","University of California, Berkeley",,
1064,955809,Erasmus University,Erasmus University Rotterdam,Erasmus University,Erasmus University Rotterdam
1065,398490,Fudan University,Fudan University,Carnegie Mellon University,Carnegie Mellon University
1066,301183,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1067,144374,Yonsei University,Yonsei University,University Of Chicago,University of Chicago
1068,651339,Peking University,Peking University,,
1069,672369,Duke University,Duke University,,
1070,142738,Lady Shri Ram College For Women,Lady Shri Ram College For Women,TERI University,Tenri University
1071,737523,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1072,380530,University Of Wisconsin-Madison,University of Wisconsin - Madison,Johns Hopkins University,Johns Hopkins University
1073,416285,American University In Bulgaria,American University in Bulgaria,,
1074,679111,University Of Oslo,University of Oslo,University Of Oslo,University of Oslo
1075,293594,Fudan University,Fudan University,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1076,972505,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
1077,733263,Harvard College,Harvard University - College,,
1078,167261,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa
1079,697106,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento
1080,172692,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,,
1081,940023,Saint Louis University,Saint Louis University,,
1082,973467,Macalester College,Macalester College,,
1083,364002,Sophia University,Sophia University,"University Of California, San Diego","University of California, San Diego"
1084,580178,Boston University,Boston University,Boston University,Boston University
1085,903390,University Of British Columbia,University of British Columbia,,
1086,384725,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1087,405056,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
1088,257889,Kyunghee University,Kyunghee University,,
1089,447916,Wuhan University of Technology,Wuhan University of Technology,,
1090,304347,Amherst College,Amherst College,,
1091,286932,University Of Michigan--Ann Arbor,University of Michigan,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology
1092,643670,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1093,880753,National Taiwan University,National Taiwan University,National Taiwan University,National Taiwan University
1094,86567,Tsinghua University,Tsinghua University,,
1095,439798,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
1096,618224,University Of Virginia,University of Virginia,,
1097,469373,Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT),Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT)
1098,989846,University Of Texas At Austin,University of Texas,,
1099,989534,Pennsylvania State University,Pennsylvania State University,,
1100,975063,Williams College,Williams College,,
1101,824713,"Indian Institute Of Technology, Madras","Indian Institute of Technology, Madras",Stanford University,Stanford University
1102,726901,Vietnam National University,National University,,
1103,411416,Hillsdale College,Hillsdale College,,
1104,929822,American University In Bulgaria,American University in Bulgaria,,
1105,151305,Peking University,Peking University,,
1106,331265,"University Of California, Santa Barbara","University of California, Santa Barbara",Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
1107,151524,University Of London,University of London,Lahore University Of Management Sciences,Lahore University of Management Sciences
1108,460828,"University Of California, Berkeley","University of California, Berkeley",,
1109,834510,University Of London-University College,University of London - University College,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1110,784398,,,University Of Cambridge,University of Cambridge
1111,169958,McGill University,McGill University,,
1112,127388,"Paris Sorbonne University, Paris IV",Université Paris-Sorbonne (Paris IV),Paris School of Economics,Warsaw School of Economics
1113,497519,Tsinghua University,Tsinghua University,,
1114,862675,Fundacao Getulio Vargas,Fundação Getulio Vargas,Fundacao Getulio Vargas,Fundação Getulio Vargas
1115,850104,Agnes Scott College,Agnes Scott College,,
1116,641548,University Of Massachusetts At Amherst,University of Massachusetts at Amherst,,
1117,550413,University Of Minnesota--Duluth,University of Minnesota - Duluth,,
1118,552752,North Carolina State University At Raleigh,North Carolina State University,,
1119,931592,"University Of California, Los Angeles","University of California, Los Angeles",,
1120,926974,Davidson College,Davidson College,University Of Missouri--Kansas City,University of Missouri - Kansas City
1121,216850,Tel Aviv University,Tel Aviv University,Tel Aviv University,Tel Aviv University
1122,307912,Brigham Young University,Brigham Young University,,
1123,489987,Rijksuniversiteit Groningen,University of Groningen,,
1124,237693,Harvard College,Harvard University - College,,
1125,399492,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,New York University,New York University
1126,344332,National Taiwan University,National Taiwan University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1127,47181,Friedrich-Alexander-Universitat Erlangen-Nurnberg,Friedrich-Alexander Universität Erlangen-Nürnberg,Friedrich-Alexander-Universitat Erlangen-Nurnberg,Friedrich-Alexander Universität Erlangen-Nürnberg
1128,59418,University Of Notre Dame,University of Notre Dame,,
1129,755649,University of Castilla-La Mancha,Universidad de Castilla La Mancha,Centro De Estudios Monetarios Y Financieros,Centros de Estudios Monetarios y Financieros (CEMFI)
1130,151256,Peking University,Peking University,,
1131,504557,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi
1132,545773,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
1133,738055,Princeton University,Princeton University,,
1134,290804,University Of Canterbury,University of Canterbury,University Of Canterbury,University of Canterbury
1135,603116,Dartmouth College,Dartmouth College,,
1136,130941,Berklee College Of Music,Berklee College of Music,Johns Hopkins University,Johns Hopkins University
1137,459155,Xiamen University,Xiamen University,Brown University,Brown University
1138,802060,"University Of California, Berkeley","University of California, Berkeley",,
1139,470872,Eafit University,Universidad EAFIT,Universidad Colegio Mayor de Nuestra Senora del Ro,Universidad Mayor
1140,280968,Johns Hopkins University,Johns Hopkins University,Princeton University,Princeton University
1141,557594,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,Tufts University,Tufts University
1142,812107,Yale University,Yale University,,
1143,773202,Princeton University,Princeton University,,
1144,165392,Peking University,Peking University,,
1145,181981,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa
1146,757426,Claremont McKenna College,Claremont McKenna College,University Of Chicago,University of Chicago
1147,172090,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci,Universite Toulouse I,Université de Toulouse
1148,70366,Lake Forest College,Lake Forest College,,
1149,289569,Universita Degli Studi Di Trieste,Universita Degli Studi Di Trieste,Universita Bocconi,Università Bocconi
1150,797209,University Of Nigeria,University of Nigeria,State University Of New York At Buffalo,State University of New York at Buffalo
1151,181229,Thammasat University,Thammasat University,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1152,402754,Renmin University Of China In Beijing,Renmin University of China,Renmin University Of China In Beijing,Renmin University of China
1153,712876,Fudan University,Fudan University,,
1154,596796,Cornell University,Cornell University,,
1155,740834,,,,
1156,775102,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1157,254864,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),,
1158,821864,University of British Columbia,University of British Columbia,,
1159,45807,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
1160,21880,LUISS Guido Carli University,Luiss Guido Carli University,Universita Bocconi,Università Bocconi
1161,639207,IBMEC,Ibmec Sao Paulo,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1162,227464,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,,
1163,533690,Auburn University Main Campus,Auburn University,,
1164,579778,Dartmouth College,Dartmouth College,,
1165,174196,Cornell College,Cornell University - College,,
1166,800393,University Of Melbourne,University of Melbourne,,
1167,88302,Peking University,Peking University,,
1168,314781,University Of Warwick,University of Warwick,Stanford University,Stanford University
1169,149932,Nanjing University,Nanjing University,Nanjing University,Nanjing University
1170,669318,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
1171,703020,University Of Oxford-St. Catharine's College,University of Oxford - St Catharine's College,University Of Oxford-Nuffield College,University of Oxford - Nuffield College
1172,705184,Ohio Wesleyan University,Ohio Wesleyan University,,
1173,3080,University Of Waterloo,University of Waterloo,,
1174,183859,University Of Cambridge,University of Cambridge,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1175,99071,College Of Charleston,College of Charleston,,
1176,351864,Cornell University,Cornell University,,
1177,755537,Swarthmore College,Swarthmore College,,
1178,162646,Gonzaga University,Gonzaga University,,
1179,581616,Tsinghua University,Tsinghua University,,
1180,906076,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1181,916181,Muhlenberg College,Muhlenberg College,,
1182,981007,Soka University of America,Soka University of America,Yale University,Yale University
1183,367574,Sung Kyun Kwan University,Sung Kyun Kwan University,,
1184,949303,University of Minnesota-Twin Cities,University of Minnesota,,
1185,133573,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnológico Autonómo de México
1186,60173,"University Of California, Irvine","University of California, Irvine",University Of Oxford,University of Oxford
1187,242938,Indiana University Bloomington,Indiana University at Bloomington,,
1188,830113,Brigham Young University,Brigham Young University,,
1189,161057,International Academy of Business,International Academy of Business,"Korea Development Institute, School of Pub. Policy & Management",KDI School of Public Policy and Management
1190,676066,Universidad De Los Andes,Universidad de Los Andes,Universidad De Los Andes,Universidad de Los Andes
1191,161120,Gettysburg College,Gettysburg College,DePaul University,DePaul University
1192,710851,Columbia University,Columbia University,University Of Oxford,University of Oxford
1193,771537,University Of Hong Kong,University of Hong Kong,Toulouse School of Economics,Toulouse school of Economics
1194,686288,Technical University Berlin,Technische Universität Berlin,,
1195,87949,Fudan University,Fudan University,Fudan University,Fudan University
1196,384598,Universidad De Costa Rica,Universidad de Costa Rica,Universidad De Costa Rica,Universidad de Costa Rica
1197,924758,University Of Manchester,University of Manchester,,
1198,240263,Yale University,Yale University,,
1199,579608,University Of North Carolina At Chapel Hill,University of North Carolina,,
1200,162728,Universidad Torcuato Di Tella,Universidad Torcuato di Tella,Universidad Torcuato Di Tella,Universidad Torcuato di Tella
1201,580085,University Of Chicago,University of Chicago,,
1202,150897,Maharaja Sayajirau University Of Baroda,Maharaja Sayajirao University of Baroda,Indira Gandhi National Open University,Indira Gandhi National Open University
1203,687768,Amherst College,Amherst College,,
1204,960791,University Of Mannheim,Universität Mannheim,Boston University,Boston University
1205,234662,University Of Michigan--Ann Arbor,University of Michigan,University Of Michigan--Ann Arbor,University of Michigan
1206,382330,Tufts University,Tufts University,,
1207,140107,University Of Tokyo,University of Tokyo,Ohio State University,Ohio State University
1208,763801,Universidad Nacional De Colombia,Universidad Nacional de Colombia,El Colegio De Mexico,El Colegio de México
1209,651014,University Of North Carolina At Chapel Hill,University of North Carolina,George Washington University,George Washington University
1210,74711,Peking University,Peking University,Cornell University,Cornell University
1211,504300,Tongji University,Tongji University,University Of Michigan--Ann Arbor,University of Michigan
1212,139780,University of Geneva,University of Geneva,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1213,708634,Augsburg College,Augsburg College,,
1214,572175,New York University,New York University,,
1215,932047,Universidade Federal De Minas Gerais,Universidade Federal de Minas Gerais,Fundacao Gertulio Vargas,Fundação Getulio Vargas
1216,795333,Stanford University,Stanford University,,
1217,971445,Universite Pierre Et Marie Curie (paris Vi),Université Pierre et Marie Curie (Paris VI),Yale University,Yale University
1218,558928,National Taiwan University,National Taiwan University,,
1219,799064,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile
1220,495829,Tsinghua University,Tsinghua University,,
1221,298140,Columbia University,Columbia University,,
1222,28705,University Of Virginia,University of Virginia,,
1223,566910,University Of Georgia,University of Georgia,,
1224,143109,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1225,659714,University Of Maryland At College Park,University of Maryland - College Park,,
1226,446109,Rhodes College,Rhodes College,,
1227,119965,University Of Texas At Austin,University of Texas,,
1228,240506,,,University Of Oxford,University of Oxford
1229,418150,Seoul National University,Seoul National University,Harvard University,Harvard University
1230,49738,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
1231,625035,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,
1232,739865,University Of Chicago,University of Chicago,,
1233,219,University Of Kentucky,University of Kentucky,,
1234,725437,Washington University in St. Louis,Washington University in St. Louis,Duke University,Duke University
1235,402233,Georgetown University,Georgetown University,,
1236,352196,Karl-Franzens-Universitat Graz,Universität Graz,Harvard University,Harvard University
1237,333045,Seoul National University,Seoul National University,,
1238,774608,Universita Bocconi,Università Bocconi,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1239,501649,Universita degli Studi di Roma 'La Sapienza',"University of Roma ""La Sapienza""",,
1240,74451,Aoyama Gakuin University,Aoyama Gakuin University,Oklahoma State University--Main Campus,Oklahoma State University
1241,487896,"University Of California, San Diego","University of California, San Diego",,
1242,571244,Universidad Nacional De La Plata,Universidad Nacional de La Plata,Universidad Nacional De La Plata,Universidad Nacional de La Plata
1243,354941,Peking University,Peking University,,
1244,922141,University Of Chicago,University of Chicago,,
1245,490333,Robert Morris University,Robert Morris University,,
1246,731870,Michigan State University,Michigan State University,,
1247,544588,University of Minnesota-Twin Cities,University of Minnesota,,
1248,241694,Sogang Univesity,Sogang University,Seoul National University,Seoul National University
1249,638162,Universidad De Buenos Aires,Universidad de Buenos Aires,Universidad Torcuato Di Tella,Universidad Torcuato di Tella
1250,539407,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,Hebrew University Of Jerusalem,Hebrew University of Jerusalem
1251,121108,"University Of Maryland, Baltimore County",University of Maryland Baltimore County,"University Of Maryland, Baltimore County",University of Maryland Baltimore County
1252,535062,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México
1253,991312,Victoria University Of Technology,Victoria University,Peking University,Peking University
1254,375751,George Washington University,George Washington University,,
1255,841438,University Of Dallas,University of Dallas,,
1256,485465,University Of Melbourne,University of Melbourne,University Of Melbourne,University of Melbourne
1257,393175,Vassar College,Vassar College,,
1258,663885,Davidson College,Davidson College,,
1259,48259,College Of William And Mary In Virginia,College of William and Mary,,
1260,553097,Harvard College,Harvard University - College,University Of Cambridge-Trinity College,University of Cambridge - Trinity College
1261,833406,University Of Maryland At College Park (umcp),University of Maryland - College Park Umcp,New York University,New York University
1262,407747,"University Of California, Irvine","University of California, Irvine",University Of Oxford,University of Oxford
1263,971101,Universidad Catolica De Santiago,Universidad Católica de Santiago del Estero,Tilburg University,Tilburg University
1264,897559,"University Of California, Davis","University of California, Davis","University Of California, Davis","University of California, Davis"
1265,368913,"University Of California, Berkeley","University of California, Berkeley",,
1266,343283,University Of Kentucky,University of Kentucky,,
1267,984570,Hanoi National University,National University,University Of Leicester,University of Leicester
1268,208411,University Of Wisconsin-Madison,University of Wisconsin - Madison,,
1269,783009,Ecole Centrale De Paris,Ecole Centrale De Paris,Groupe HEC,HEC Paris
1270,491581,Vietnam National University,National University,University Of Memphis,University of Memphis
1271,476902,Syracuse University,Syracuse University,,
1272,970292,William Marsh Rice University,Rice University,,
1273,171450,Macalester College,Macalester College,,
1274,546920,University of Minnesota-Twin Cities,University of Minnesota,,
1275,391718,Universidad Pompeu Fabra,Universitat Pompeu Fabra,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1276,536101,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University
1277,610427,Washington And Lee University,Washington and Lee University,,
1278,933075,"University Of California, Berkeley","University of California, Berkeley",,
1279,391534,George Washington University,George Washington University,,
1280,319808,"University Of California, Berkeley","University of California, Berkeley",Carnegie Mellon University,Carnegie Mellon University
1281,570463,Harvard University,Harvard University,,
1282,569182,University Of Texas At Austin,University of Texas,,
1283,236331,Victoria University Of Wellington,Victoria University of Wellington,,
1284,787644,Cornell University,Cornell University,,
1285,563867,University Of North Carolina At Chapel Hill,University of North Carolina,,
1286,808929,Eidgenossische Technische Hochschule Zurich,"Swiss Federal Institute of Technology, Zurich",University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1287,768170,Harvard College,Harvard University - College,University Of British Columbia,University of British Columbia
1288,93607,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore
1289,435070,Korea University,Korea University,Korea University,Korea University
1290,811427,University Of Michigan--Ann Arbor,University of Michigan,,
1291,196409,Stanford University,Stanford University,,
1292,699707,Johns Hopkins University,Johns Hopkins University,,
1293,850900,Connecticut College,Connecticut College,Brown University,Brown University
1294,554811,Universidad Nacional San Cristobal de Huamanga,Universidad Nacional de San Cristóbal de Huamanga,Universidad Del Pacifico,Universidad del Pacifico
1295,347403,Colgate University,Colgate University,Georgia Institute Of Technology,Georgia Institute of Technology
1296,76821,University Of Virginia,University of Virginia,Stanford University,Stanford University
1297,190934,University of Potsdam,Universität Potsdam,University Of Wisconsin--Milwaukee,University of Wisconsin - Milwaukee
1298,480582,Universita Bocconi,Università Bocconi,Universita Bocconi,Università Bocconi
1299,400794,University Of Virginia,University of Virginia,,
1300,938077,National Research University Higher School of Economics,Higher School of Economics,,
1301,399936,International Islamic University,International Islamic University,,
1302,243435,New York University,New York University,,
1303,991222,Brigham Young University,Brigham Young University,,
1304,452862,Claremont McKenna College,Claremont McKenna College,,
1305,881095,Emory University,Emory University,,
1306,377061,"University Of California, Davis","University of California, Davis",,
1307,766516,Hong Kong Polytechnic,Hong Kong Polytechnic University,,
1308,50010,Universidad Anahuac,Universidad Anáhuac,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics
1309,596235,Beijing Foreign Studies University,Beijing Foreign Studies University,University Of Chicago,University of Chicago
1310,352670,Kalamazoo College,Kalamazoo College,,
1311,65665,University of Brasilia,Universidade de Brasília,Fundacao Getulio Vargas,Fundação Getulio Vargas
1312,714468,Fudan University,Fudan University,"University Of California, Santa Barbara","University of California, Santa Barbara"
1313,526009,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Johns Hopkins University,Johns Hopkins University
1314,246880,University Of Chicago,University of Chicago,,
1315,425670,University Of London-Royal Holloway College,University of London - Royal Holloway College,University Of York,University of York
1316,899428,Loyola Marymount University,Loyola Marymount University,,
1317,68555,Middle Tennessee State University,Middle Tennessee State University,,
1318,881246,Shanghai Jiao Tong University,Shanghai Jiaotong University,Purdue University,Purdue University
1319,664828,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,Instituto Tecnológico Autonómo de México,,
1320,489875,National Taiwan University,National Taiwan University,Boston University,Boston University
1321,345173,Purdue University,Purdue University,,
1322,451747,Stanford University,Stanford University,Columbia University,Columbia University
1323,400603,Columbia University,Columbia University,,
1324,92054,University Of Wisconsin-Madison,University of Wisconsin - Madison,University Of Michigan--Ann Arbor,University of Michigan
1325,240357,Loyola University Of Chicago,Loyola University of Chicago,,
1326,57307,Manipal Institute Of Technology,Manipal University,,
1327,971998,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1328,559586,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Harvard University,Harvard University
1329,826607,Chinese University Of Hong Kong,Chinese University of Hong Kong,University Of Chicago,University of Chicago
1330,792895,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,"Graduate School Of Economics, Getulio Vargas Fndn.",EPGE Brazilian School of Economics and Finance
1331,412915,University Of Tehran,University of Tehran,University of London-London School of Economics & Political Sci,University of London - London School Of Economics & Political Sci
1332,981388,Universite Antilles,Université des Antilles et de la Guyane,,
1333,623094,University Of Edinburgh,University of Edinburgh,University Of Cambridge-Pembroke College,University of Cambridge - Pembroke College
1334,265123,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,,
1335,602814,University Of North Carolina At Chapel Hill,University of North Carolina,,
1336,1672,Northwestern University,Northwestern University,,
1337,887546,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnológico Autonómo de México,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnológico Autonómo de México
1338,948841,Academy of National Economy under the Russian Government,Academy of National Economy under the Russian Government,New Economic School,New Economic School
1339,454079,Northwestern University,Northwestern University,,
1340,906749,Seoul National University,Seoul National University,Seoul National University,Seoul National University
1341,117425,University Of Michigan--Ann Arbor,University of Michigan,,
1342,10407,Harvard College,Harvard University - College,,
1343,28755,Dnipropetrovs'k National University,Dnepropetrovsk National University,Kent State University,Kent State University
1344,318397,Loyola University New Orleans,Loyola University New Orleans,,
1345,669631,University Of Tokyo,University of Tokyo,University Of Tokyo,University of Tokyo
1346,209780,Universidad De Montevideo,Universidad de Montevideo,,
1347,660266,University Of Hong Kong,University of Hong Kong,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology
1348,282096,Ludwig-Maximillians-Universitat Munchen,Ludwig-Maximilians-Universität München,Universidad Pompeu Fabra,Universitat Pompeu Fabra
1349,709355,Harvard University,Harvard University,,
1350,629798,Loyola University New Orleans,Loyola University New Orleans,,
1351,89397,Cornell University,Cornell University,Yale University,Yale University
