,confidence,orig,name,school
26,high,Grinnell College,Grinnell College,
27,high,Universidad De Guadalajara,Universidad de Guadalajara,
28,high,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,
29,high,Nankai University,Nankai University,
30,high,University Of Texas At Austin,University of Texas,
31,high,University Of Alabama at Birmingham,University of Alabama - Birmingham,
32,same-name,Universita Commerciale 'luigi Bocconi',University of Commerce Luigi Bocconi,
33,not changed,Lady Shri Ram College For Women,Lady Shri Ram College For Women,
34,high,University Of Wisconsin-Madison,University of Wisconsin - Madison,
35,high,Columbia University,Columbia University,
36,high,Princeton University,Princeton University,
37,high,Middlebury College,Middlebury College,
38,google-match,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,
39,high,Georgetown University,Georgetown University,
40,high,Colby College,Colby College,
41,high,Mount Holyoke College,Mount Holyoke College,
42,high,Yazd University,Yazd University,
43,high,University Of Hong Kong,University of Hong Kong,
44,high,Harvard University,Harvard University,
45,high,Stanford University,Stanford University,
46,same-name,The Chinese Univ. of Hong Kong,Chinese University of Hong Kong,
47,high,Universidad Nacional De Colombia,Universidad Nacional de Colombia,
48,high,State University - Higher School of Economics,Higher School of Economics,
49,high,Morehouse College,Morehouse College,
50,high,Covenant University,Covenant University,
51,high,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University,
52,high,Ivan Franko National University of Lviv,National University,
53,high,University Of Tehran,University of Tehran,
54,high,Colorado State University,Colorado State University,
55,high,Cornell University,Cornell University,
56,high,University Of Warwick,University of Warwick,
57,high,Fudan University,Fudan University,
58,high,Liaoning Normal University,Liaoning Normal University,
59,high,University of London-London School of Economics & Political Sci,University of London,london school of economics & political sci
60,high,Macalester College,Macalester College,
61,high,Soka University,Soka University,
62,high,Ohio State University,Ohio State University,
63,high,Brandeis University,Brandeis University,
64,google-match,ITAM,Instituto Tecnológico Autonómo de México,
65,high,Chinese University Of Hong Kong,Chinese University of Hong Kong,
66,high,University Of Southern California,University of Southern California,
67,high,Korea University,Korea University,
68,high,Reed College,Reed College,
69,not changed,Budapesti Corvinus Egyetem,Budapesti Corvinus Egyetem,
70,high,University Of Delhi,University of Delhi,
71,high,University College London,University College London,
72,same-name,Universidad Pompeu Fabra,Universitat Pompeu Fabra,
73,high,Oberlin College,Oberlin College,
74,ratio-93,Russian-Armenian (Slavonic) University,Russian-Armenian (Slavonic) State University,
75,google-match,Universita Degli Studi Di Torino,University of Turin,
76,high,Williams College,Williams College,
77,high,Claremont McKenna College,Claremont McKenna College,
78,high,University Of Missouri--Columbia,University of Missouri - Columbia,
79,high,Smith College,Smith College,
80,high,Bogazici University,Bogazici University,
81,high,National Chengchi University,National Chengchi University,
82,google-match,"Rutgers, The State University Of New Jersey",Rutgers University,
83,high,Renmin University of China,Renmin University of China,
84,high,University of St. Gallen,University of St. Gallen,
85,high,University Of Tokyo,University of Tokyo,
86,high,Massachusetts Institute of Technology,Massachusetts Institute of Technology,
87,high,National Taipei University,National Taipei University,
88,high,Brown University,Brown University,
89,high,North Carolina State University At Raleigh,North Carolina State University,
90,google-match,Universitat Bern,University of Berne,
91,high,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,
92,high,Southern Methodist University,Southern Methodist University,
93,high,Carnegie Mellon University,Carnegie Mellon University,
94,partial-98,University Of The Phillippines,Adventist University of the Philippines,
95,high,University Of Florida,University of Florida,
96,high,University Of Cambridge-Queen's College,University of Cambridge,queen's college
97,high,Universite Catholique de Louvain,Université Catholique de Louvain,
98,high,Sharif University of Technology,Sharif University of Technology,
99,high,"University Of California, Davis","University of California, Davis",
100,high,University Of Maryland At College Park,University of Maryland,college park
101,high,Allegheny College,Allegheny College,
102,high,University Of Washington,University of Washington,
103,high,University Of Amsterdam,University of Amsterdam,
104,not changed,"St. Xavier's College, Kolkata","St. Xavier's College, Kolkata",
105,high,University Of British Columbia,University of British Columbia,
106,high,Boston College,Boston College,
107,high,Nanyang Technological University,Nanyang Technological University,
108,high,University Of Cambridge-Wolfson College,University of Cambridge,wolfson college
109,google-match,University Pantheon Assas (paris Ii),Université Panthéon-Assas (Paris II),
110,high,Universidad De Chile,Universidad de Chile,
111,google-match,University Of Copenhagen,Copenhagen University,
112,high,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,
113,high,Wellesley College,Wellesley College,
114,high,Beijing Normal University,Beijing Normal University,
115,high,Harbin Normal University,Harbin Normal University,
116,google-match,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique,
117,google-match,Universita Degli Studi Di Padova,University of Padua,
118,high,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,
119,google-match,Miami University,Miami University of Ohio,
120,high,University Of Cambridge-Corpus Christi College,University of Cambridge,corpus christi college
121,high,Yerevan State University,Yerevan State University,
122,high,Zhejiang University,Zhejiang University,
123,high,Harvard College,Harvard University,college
124,high,Johns Hopkins University,Johns Hopkins University,
125,high,Elmira College,Elmira College,
126,high,Washington University in St. Louis,Washington University in St. Louis,
127,high,Universidad De Los Andes,Universidad de Los Andes,
128,high,Shanghai Institute Of Foreign Trade,Shanghai Institue of Foreign Trade,
129,high,"Wimbledon School of Art, University of Surrey",University of Surrey,wimbledon school of art
130,high,Clark University,Clark University,
131,high,Brigham Young University,Brigham Young University,
132,high,Universidad De San Andres,Universidad de San Andres,
133,partial-100,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,
134,not changed,"School of Liberal Studies, PDPU","School of Liberal Studies, PDPU",
135,high,Duke University,Duke University,
136,not changed,"Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften","Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften",
137,high,Universidad Nacional De Cordoba,Universidad Nacional de Córdoba,
138,high,"University Of California, Santa Barbara","University of California, Santa Barbara",
139,high,University Of New South Wales,University of New South Wales,
140,high,McGill University,McGill University,
141,google-match,Institut D'etudes Politiques,Institut d'Etudes Politiques de Paris (Sciences Po),
142,high,Pennsylvania State University,Pennsylvania State University,
143,google-match,Trinity College,Trinity College Connecticut,
144,high,Indiana University Bloomington,Indiana University at Bloomington,
145,high,Universidad ORT Uruguay,Universidad ORT Uruguay,
146,same-name,Instituto Torcuato Di Tella,Universidad Torcuato di Tella,
147,not changed,University Of Sao Paulo,University Of Sao Paulo,
148,high,Washington And Lee University,Washington and Lee University,
149,high,University Of Vermont and State Agricultural College,University of Vermont,and state agricultural college
150,google-match,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,Instituto Tecnológico Autonómo de México,
151,high,University Of Rochester,University of Rochester,
152,high,University Of Pune,University of Pune,
153,high,Kobe University,Kobe University,
154,high,Villanova University,Villanova University,
155,high,Thammasat University,Thammasat University,
156,high,Renmin University Of China In Beijing,Renmin University of China,
157,google-match,University Of Nebraska,University of Nebraska - Lincoln,
158,high,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,
159,high,University Of New Mexico,University of New Mexico,
160,not changed,Goethe University,Goethe University,
161,high,Lahore University Of Management Sciences,Lahore University of Management Sciences,
162,google-match,University Of Montreal,Université de Montréal,
163,ratio-93,Technische Universitat Munchen,Technische Universität München,
164,high,University Of Iowa,University of Iowa,
165,high,Tufts University,Tufts University,
166,high,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,
167,high,Indiana Wesleyan University,Indiana Wesleyan University,
168,not changed,Ural Federal University,Ural Federal University,
169,high,Universidad Nacional De Cuyo,Universidad Nacional de Cuyo,
170,high,Tel Aviv University,Tel Aviv University,
171,high,National University Of Singapore,National University of Singapore,
172,high,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,
173,high,Case Western Reserve University,Case Western Reserve University,
174,high,University Of St Andrews,University of St. Andrews,
175,ratio-94,Universita Bocconi,Università Bocconi,
176,high,Singapore Management University,Singapore Management University,
177,google-match,Universite De Lausanne,University of Lausanne,
178,high,"University Of California, Berkeley","University of California, Berkeley",
179,high,Millsaps College,Millsaps College,
180,high,Calvin College,Calvin College,
181,not changed,St Xavier's College,St Xavier's College,
182,high,Xiamen University,Xiamen University,
183,high,City University Of Hong Kong,City University of Hong Kong,
184,high,George Mason University,George Mason University,
185,high,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,
186,high,University Of Kansas,University of Kansas,
187,high,National Research University Higher School of Economics,Higher School of Economics,
188,high,Central University Of Finance And Economics,Central University of Finance and Economics,
189,high,Indian Institute of Technology,Indiana Institute of Technologyy,
190,high,University Of Michigan--Dearborn,University of Michigan - Dearborn,
191,high,University of San Francisco,University of San Francisco,
192,high,University Of Adelaide,University of Adelaide,
193,google-match,Instituto Tecnologico y de Estudios Superiores de Monterrey,Tecnológico de Monterrey,
194,high,University of Dhaka,University of Dhaka,
195,google-match,Erasmus University,Erasmus University Rotterdam,
196,google-match,Universita Degli Studi Roma Tre,Third University of Rome,
197,high,Vanderbilt University,Vanderbilt University,
198,high,"University of Delhi, Hansraj College",University of Delhi,hansraj college
199,high,Swarthmore College,Swarthmore College,
200,high,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,
201,google-match,National Chung Hsing University,"National Chung Hsing University, Taichung",
202,high,Universidade Nova De Lisboa,Universidade Nova de Lisboa,
203,high,Universidad de Piura,Universidad de Piura,
204,high,Wabash College,Wabash College,
205,high,Kazakh National University,National University,
206,high,Utrecht University,Utrecht University,
207,high,American University Of Beirut,American University of Beirut,
208,not changed,National Insitute for Lifelong Education,National Insitute for Lifelong Education,
209,high,National Taiwan University,National Taiwan University,
210,high,Tilburg University,Tilburg University,
211,high,Isfahan University of Technology,Isfahan University of Technology,
212,not changed,Oporto University,Oporto University,
213,high,California Institute Of Technology,California Institute of Technology,
214,not changed,INSPER (Institute of Education and Research),INSPER (Institute of Education and Research),
215,google-match,UniversitÃ© de Lausanne,University of Lausanne,
216,high,Amirkabir University of Technology,Amirkabir University of Technology,
217,high,University Of Science and Technology Of China,University of Science and Technology of China,
218,high,"Tishreen University, Lattakia, Syria",Tishreen University,
219,high,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,
220,high,Sogang University,Sogang University,
221,high,Stella Maris College,Stella Maris College,
222,google-match,Eberhard-Karls-Universitat Tubingen,Eberhard-Karls-Universität Tübingen,
223,google-match,Fundacao Gertulio Vargas,Fundação Getulio Vargas,
224,high,Amherst College,Amherst College,
225,high,University Of Arizona,University of Arizona,
226,high,Simon Fraser University,Simon Fraser University,
227,high,Hanyang University ERICA,Hanyang University,
228,high,"University Of California, Irvine","University of California, Irvine",
229,high,Middle East Technical University,Middle East Technical University,
230,high,"Barnard College, Columbia University",Barnard College - Columbia University,
231,high,Carleton College,Carleton College,
232,partial-100,MZUMBE UNIVERSITY,Mzumbe University (Chuo Kikuu Mzumbe),
233,high,University Of Cambridge-Trinity College,University of Cambridge,trinity college
234,high,Hamilton College,Hamilton College,
235,high,University Of Wisconsin--Madison,University of Wisconsin - Madison,
236,not changed,Universite De Paris I (pantheon-Sorbonne),Universite De Paris I (pantheon-Sorbonne),
237,google-match,People's University Of China,Renmin University of China,
238,high,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,
239,high,Istanbul Technical University,Istanbul Technical University,
240,high,Facultes Universitaires Saint-Louis,Facultés Universitaires Saint-Louis,
241,google-match,UniversitÃ  degli Studi di Roma Tor Vergata,"University of Roma ""Tor Vergata""",
242,exactmatch,Holborn College,Holborn College,
243,google-match,ITAM Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,
244,high,Universidad Torcuato Di Tella,Universidad Torcuato di Tella,
245,high,Capital University Of Economics And Business,Capital University of Economics and Business,
246,high,Bates College,Bates College,
247,high,Ecole Polytechnique,Ecole Polytechnique,
248,high,University of Ottawa,University of Ottawa,
249,google-match,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,
250,high,University of Melbourne,University of Melbourne,
251,high,St. Olaf College,St. Olaf College,
252,high,University Of Georgia,University of Georgia,
253,high,Baylor University,Baylor University,
254,high,University of Tartu,University of Tartu,
255,high,George Washington University,George Washington University,
256,google-match,Sciences Po: Institut D'etudes Politiques de Paris,Institut d'Etudes Politiques de Paris (Sciences Po),
257,partial-100,Budapest University Of Economic Sciences,Budapest University of Economic Sciences and Public Administration,
258,google-match,University Of Arkansas--Fayetteville,University of Arkansas at Fayetteville,
259,high,Chulalongkorn University,Chulalongkorn University,
260,high,The University of Hong Kong,University of Hong Kong,
261,high,University Of Zagreb,University of Zagreb,
262,high,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,
263,high,Hillsdale College,Hillsdale College,
264,high,Universidad Del Pacifico,Universidad del Pacifico,
265,high,Universidad Nacional De Asuncion,Universidad Nacional de Asunción,
266,high,Universidad De Costa Rica,Universidad de Costa Rica,
267,high,Gettysburg College,Gettysburg College,
268,high,Western Kentucky University,Western Kentucky University,
269,high,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro,
270,high,M.V. Lomonosov Moscow State University,Moscow State University,
271,high,Washburn University Of Topeka,Washburn University,
272,high,Northwestern University,Northwestern University,
273,high,Michigan State University,Michigan State University,
274,high,Michigan Technological University,Michigan Technological University,
275,not changed,Lycee louis Le Grand,Lycee louis Le Grand,
276,high,"Indian Institute of Technology, Madras","Indian Institute of Technology, Madras",
277,high,University Of Alabama In Huntsville,University of Alabama - Huntsville,
278,high,Texas A&M University,Texas A&M University,
279,high,Queen's University,Queen's University,
280,high,American University of Sharjah,American University of Sharjah,
281,high,University Of Toronto Schools,University of Toronto,schools
