,confidence,orig,name,school
398,google-match,Universita Degli Studi Di Firenze,University of Florence,
399,google-match,State University Of New York At Farmingdale,State University of New York College of Technology at Farmingdale,
400,high,Auburn University,Auburn University,
401,high,Wesleyan University,Wesleyan University,
402,high,Babcock University,Babcock University,
403,google-match,National Technical University of Ukraine,National Technical University (Kiev Politechnical Institute),
404,same-name,B.M.S. College of Engineering, L.D.College of Engineering,
405,high,International Christian University,International Christian University,
406,high,Illinois State University,Illinois State University,
407,high,East China Normal University,East China Normal University,
408,high,Universidade Federal Fluminense,Universidade Federal Fluminense,
409,high,Wroclaw University of Economics,Wroclaw University of Economics,
410,high,Franklin And Marshall College,Franklin and Marshall College,
411,high,Athens University of Economics and Business,Athens University of Economics and Business,
412,high,Seton Hall University,Seton Hall University,
413,high,University Of Ottawa,University of Ottawa,
414,high,"Hunter College, City University Of New York",City University of New York,hunter college
415,high,Universitat Hamburg,Universität Hamburg,
416,high,Ecole Nationale Des Ponts Et Chaussees,Ecole Nationale des Ponts et Chausees,
417,high,University Of Tennessee At Knoxville,University of Tennessee - Knoxville,
418,high,New  York University,New York University,
419,high,Universidad De Montevideo,Universidad de Montevideo,
420,high,University Of Western Australia,University of Western Australia,
421,high,University Of Alberta,University of Alberta,
422,high,Shanghai International Studies University,Shanghai International Studies University,
423,high,Tianjin Foreign Studies University,Tianjin Foreign Studies University,
424,high,Texas State University,Texas State University,
425,high,University of California San Diego,"University of California, San Diego",
426,ratio-94,The Interdisciplinary Center Herzliya,The Interdisciplinary Center Herzliya,
427,high,Ibmec Sao Paulo,Ibmec Sao Paulo,
428,high,Higher School of Economics,Higher School of Economics,
429,high,Boise State University,Boise State University,
430,high,William Marsh Rice University,Rice University,
431,high,North Central College,North Central College,
432,high,Illinois College,Illinois College,
433,high,Shandong University,Shandong University,
434,high,University of Macau,University of Macau,
435,high,Luiss Guido Carli University,Luiss Guido Carli University,
436,high,University of British Columbia,University of British Columbia,
437,high,University Of York,University of York,
438,high,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,
439,high,University Of Oxford-Lincoln College,University of Oxford,lincoln college
440,high,Universidade Federal Do Rio Grande Do Sul,Universidade Federal do Rio Grande do Sul,
441,high,Canisius College,Canisius College,
442,high,Florida State University,Florida State University,
443,high,Furman University,Furman University,
444,high,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,
445,google-match,Instituto TecnolÃ³gico AutÃ³nomo de Mexico,Instituto Tecnológico Autonómo de México,
446,high,Universite Pierre Et Marie Curie (paris Vi),Université Pierre et Marie Curie (Paris VI),
447,high,University Of Auckland,University of Auckland,
448,ratio-93,University of Prishtina,University of Priština,
449,google-match,Eidgenossische Technische Hochschule Zurich,"Swiss Federal Institute of Technology, Zurich",
450,partial-100,Wheaton College,Wheaton College Massachusetts,
451,high,Northeastern University,Northeastern University,
452,high,University Of Alabama In Tuscaloosa,University of Alabama - Tuscaloosa,
453,high,Anglia Polytechnic University,Polytechnic University,
454,high,Hampton University,Hampton University,
455,google-match,Oxford University,University of Oxford,
456,high,Texas Tech University,Texas Tech University,
457,high,University Of Oxford-St. Hilda's College,University of Oxford,st hilda's college
458,high,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,
459,high,Beijing Institute Civil Engineering/architecture,Beijing Institute Civil Engineering/architecture,
460,google-match,Adolfo Ibanez University,Universidad Adolfo Ibáñez,
461,high,Bard College,Bard College,
462,google-match,Athens School Of Economic And Business Sciences,Athens University of Economics and Business,
463,high,Haverford College,Haverford College,
464,high,Colgate University,Colgate University,
465,high,Taylor University,Taylor University,
466,google-match,"Calif. Polytechnic State Univ., San Luis Obispo",California Polytechnic State University - San Luis Obispo,
467,google-match,ITESM -CCM,Tecnológico de Monterrey,
468,high,Sichuan University,Sichuan University,
469,high,University Of Waterloo,University of Waterloo,
470,high,Victoria University Of Wellington,Victoria University of Wellington,
471,high,Universidad De Lima,Universidad de Lima,
472,high,American University In Bulgaria,American University in Bulgaria,
473,high,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,
474,high,Saint Louis University,Saint Louis University,
475,high,Kyunghee University,Kyunghee University,
476,high,Wuhan University of Technology,Wuhan University of Technology,
477,high,"Indian Institute Of Technology, Madras","Indian Institute of Technology, Madras",
478,high,Vietnam National University,National University,
479,high,University Of London-University College,University of London,university college
480,token-98,"Paris Sorbonne University, Paris IV",Université Paris-Sorbonne (Paris IV),
481,high,Agnes Scott College,Agnes Scott College,
482,high,University Of Massachusetts At Amherst,University of Massachusetts at Amherst,
483,high,University Of Minnesota--Duluth,University of Minnesota - Duluth,
484,google-match,Rijksuniversiteit Groningen,University of Groningen,
485,ratio-94,Friedrich-Alexander-Universitat Erlangen-Nurnberg,Friedrich-Alexander Universität Erlangen-Nürnberg,
486,google-match,University of Castilla-La Mancha,Universidad de Castilla La Mancha,
487,high,University Of Canterbury,University of Canterbury,
488,high,Dartmouth College,Dartmouth College,
489,high,Berklee College Of Music,Berklee College of Music,
490,google-match,Eafit University,Universidad EAFIT,
491,high,Universita Degli Studi Di Trieste,Universita Degli Studi Di Trieste,
492,high,University Of Nigeria,University of Nigeria,
493,high,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,
494,google-match,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),Instituto Tecnológico Autonómo de México,
