,name,best_ratio_match,best_ratio,best_partial_ratio_match,best_partial_ratio,best_token_sort_ratio_match,best_token_sort_ratio
158,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,100,Universidad Carlos III de Madrid,100,Universidad Carlos III de Madrid,100
159,University Of New Mexico,University of New Mexico,100,University of New Mexico,100,University of New Mexico,100
160,Goethe University,Botho University,85,Johann Wolfgang Goethe Universität Frankfurt am Main,94,IE University,87
161,Lahore University Of Management Sciences,Lahore University of Management Sciences,100,Lahore University of Management Sciences,100,Lahore University of Management Sciences,100
162,University Of Montreal,University of Montevallo,91,University of Montevallo,95,University of Montevallo,91
163,Technische Universitat Munchen,Technische Universität München,93,Technische Universität München,93,Technische Universität München,97
164,University Of Iowa,University of Iowa,100,University of Iowa,100,Iowa State University of Science and Technology,100
165,Tufts University,Tufts University,100,Tufts University,100,Tufts University,100
166,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,95,Southwest University,100,Southwest University,100
167,Indiana Wesleyan University,Indiana Wesleyan University,100,Indiana Wesleyan University,100,Indiana Wesleyan University,100
168,Ural Federal University,Alfred University,80,DePaul University,91,Federal University of Petroleum Resources,88
169,Universidad Nacional De Cuyo,Universidad Nacional de Cuyo,100,Universidad Nacional de Cuyo,100,Universidad Nacional de Cuyo,100
170,Tel Aviv University,Tel Aviv University,100,Tel Aviv University,100,Tel Aviv University,100
171,National University Of Singapore,National University of Singapore,100,National University,100,National University,100
172,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,100,Rensselaer Polytechnic Institute,100,Rensselaer Polytechnic Institute,100
173,Case Western Reserve University,Case Western Reserve University,100,Case Western Reserve University,100,Case Western Reserve University,100
174,University Of St Andrews,University of St. Andrews,98,University of St. Andrews,96,Andrews University,100
175,Universita Bocconi,Università Bocconi,94,Università Bocconi,94,Università Bocconi,97
176,Singapore Management University,Singapore Management University,100,Singapore Management University,100,Singapore Management University,100
177,Universite De Lausanne,University of Lausanne,86,University of Lausanne,86,University of Lausanne,86
178,"University Of California, Berkeley","University of California, Berkeley",100,"University of California, Berkeley",100,"University of California, Berkeley",100
179,Millsaps College,Millsaps College,100,Millsaps College,100,Millsaps College,100
180,Calvin College,Calvin College,100,Calvin College,100,Calvin College,100
181,St Xavier's College,St. Peter's College,79,"St. Xavier's College, Kolkata",95,"St. Xavier's College, Kolkata",100
182,Xiamen University,Xiamen University,100,Xiamen University,100,Xiamen University,100
183,City University Of Hong Kong,City University of Hong Kong,100,City University,100,City University,100
184,George Mason University,George Mason University,100,George Mason University,100,George Mason University,100
185,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,96,Institute of Science and Technology,100,Institute of Science and Technology,100
186,University Of Kansas,University of Kansas,100,University of Kansas,100,University of Kansas,100
187,National Research University Higher School of Economics,National Research University of Electronic Technology,70,Higher School of Economics,100,National University,100
188,Central University Of Finance And Economics,Central University of Finance and Economics,100,Central University of Finance and Economics,100,Central University of Finance and Economics,100
189,Indian Institute of Technology,Indiana Institute of Technologyy,97,"Indian Institute of Technology, Bombay",100,Indian Institute of Information Technology,100
190,University Of Michigan--Dearborn,University of Michigan - Dearborn,95,University of Michigan,100,University of Michigan,100
191,University of San Francisco,University of San Francisco,100,University of San Francisco,100,"University of California, San Francisco",100
192,University Of Adelaide,University of Adelaide,100,University of Adelaide,100,University of Adelaide,100
193,Instituto Tecnologico y de Estudios Superiores de Monterrey,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),92,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),98,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),94
194,University of Dhaka,University of Dhaka,100,University of Dhaka,100,Dhaka University of Engineering and Technology,100
195,Erasmus University,Rush University,85,Erasmus University Rotterdam,100,Erasmus University Rotterdam,100
196,Universita Degli Studi Roma Tre,Universita Degli Studi Di Trieste,84,Universita Degli Studi Di Trieste,87,Universita Degli Studi Di Trieste,84
197,Vanderbilt University,Vanderbilt University,100,Vanderbilt University,100,Vanderbilt University,100
198,"University of Delhi, Hansraj College",University of King's College,78,University of Delhi,100,University of Delhi,100
199,Swarthmore College,Swarthmore College,100,Swarthmore College,100,Swarthmore College,100
200,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,95,Universidad Nacional,100,Universidad Nacional,100
201,National Chung Hsing University,National Chung Cheng University,94,"National Chung Hsing University, Taichung",100,National University,100
202,Universidade Nova De Lisboa,Universidade Nova de Lisboa,100,Universidade Nova de Lisboa,100,Universidade de Lisboa,100
203,Universidad de Piura,Universidad de Piura,100,Universidad de Piura,100,Universidad de Piura,100
204,Wabash College,Wabash College,100,Wabash College,100,Wabash College,100
205,Kazakh National University,Kharkiv National University,87,National University,100,National University,100
206,Utrecht University,Utrecht University,100,Utrecht University,100,Utrecht University,100
207,American University Of Beirut,American University of Beirut,100,American University,100,American University,100
208,National Insitute for Lifelong Education,National Institute for Lifelong Education,99,National Institute for Lifelong Education,98,National Institute for Lifelong Education,99
209,National Taiwan University,National Taiwan University,100,National Taiwan University,100,National University,100
210,Tilburg University,Tilburg University,100,Tilburg University,100,Tilburg University,100
211,Isfahan University of Technology,Isfahan University of Technology,100,Isfahan University,100,Isfahan University,100
212,Oporto University,Norton University,88,Art University,93,Norton University,88
213,California Institute Of Technology,California Institute of Technology,100,California Institute of Technology,100,California Institute of Technology,100
214,INSPER (Institute of Education and Research),Insper Institute of Education and Research,98,Insper Institute of Education and Research,98,Insper Institute of Education and Research,100
215,UniversitÃ© de Lausanne,University of Lausanne,84,University of Lausanne,82,University of Lausanne,88
216,Amirkabir University of Technology,Amirkabir University of Technology,100,Amirkabir University of Technology,100,Amirkabir University of Technology,100
217,University Of Science and Technology Of China,University of Science and Technology of China,100,South University of Science and Technology of China ,100,East China University of Science and Technology,100
218,"Tishreen University, Lattakia, Syria",Tishreen University,69,Tishreen University,100,Tishreen University,100
219,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,100,Hebrew University of Jerusalem,100,Hebrew University of Jerusalem,100
220,Sogang University,Sogang University,100,Sogang University,100,Sogang University,100
221,Stella Maris College,Stella Maris College,100,Stella Maris College,100,Stella Maris College,100
222,Eberhard-Karls-Universitat Tubingen,Eberhard-Karls-Universität Tübingen,94,Eberhard-Karls-Universität Tübingen,94,Eberhard-Karls-Universität Tübingen,97
223,Fundacao Gertulio Vargas,Fundação Getulio Vargas,89,Escola de Economia de São Paulo - Fundação Getulio Vargas,89,Fundação Getulio Vargas,93
224,Amherst College,Amherst College,100,Amherst College,100,Amherst College,100
225,University Of Arizona,University of Arizona,100,University of Arizona,100,University of Arizona,100
226,Simon Fraser University,Simon Fraser University,100,Simon Fraser University,100,Simon Fraser University,100
227,Hanyang University ERICA,Hanyang University,86,Hanyang University,100,Hanyang University,100
228,"University Of California, Irvine","University of California, Irvine",100,"University of California, Irvine",100,"University of California, Irvine",100
229,Middle East Technical University,Middle East Technical University,100,Middle East Technical University,100,Middle East University,100
230,"Barnard College, Columbia University",Barnard College - Columbia University,96,Columbia University,100,Barnard College - Columbia University,100
231,Carleton College,Carleton College,100,Carleton College,100,Carleton College,100
232,MZUMBE UNIVERSITY,Umea University,88,Mzumbe University (Chuo Kikuu Mzumbe),100,Mzumbe University (Chuo Kikuu Mzumbe),100
233,University Of Cambridge-Trinity College,University of Trinity College,85,University of Cambridge,100,Cambridge College,100
234,Hamilton College,Hamilton College,100,Hamilton College,100,Hamilton College,100
235,University Of Wisconsin--Madison,University of Wisconsin - Madison,95,University of Wisconsin - Madison,94,University of Wisconsin - Madison,100
236,Universite De Paris I (pantheon-Sorbonne),Université Panthéon-Sorbonne (Paris I),68,Université de Saida,79,Université Panthéon-Sorbonne (Paris I),93
237,People's University Of China,Ocean University of China,83,Pes University,93,People's University of Bangladesh,88
238,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,100,Pontificia Universidad Catolica de Chile,100,Pontificia Universidad Catolica de Chile,100
239,Istanbul Technical University,Istanbul Technical University,100,Istanbul Technical University,100,Istanbul Technical University,100
240,Facultes Universitaires Saint-Louis,Facultés Universitaires Saint-Louis,97,Facultés Universitaires Saint-Louis,97,Facultés Universitaires Saint-Louis,99
241,UniversitÃ  degli Studi di Roma Tor Vergata,Universita Degli Studi Di Trieste,77,Universita Degli Studi Di Trieste,82,Universita Degli Studi Di Trieste,76
242,Holborn College,Holborn College,100,Holborn College,100,Holborn College,100
243,ITAM Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,87,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,90
244,Universidad Torcuato Di Tella,Universidad Torcuato di Tella,100,Universidad Torcuato di Tella,100,Universidad Torcuato di Tella,100
245,Capital University Of Economics And Business,Capital University of Economics and Business,100,Capital University,100,Capital University,100
246,Bates College,Bates College,100,Bates College,100,Bates College,100
247,Ecole Polytechnique,Ecole Polytechnique,100,Ecole polytechnique fédérale de Lausanne,100,Ecole polytechnique fédérale de Lausanne,100
248,University of Ottawa,University of Ottawa,100,University of Ottawa,100,Ottawa University,100
249,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,92,Instituto Tecnológico Autonómo de México,96
250,University of Melbourne,University of Melbourne,100,University of Melbourne,100,University of Melbourne,100
251,St. Olaf College,St. Olaf College,100,St. Olaf College,100,St. Olaf College,100
252,University Of Georgia,University of Georgia,100,University of Georgia,100,State University of West Georgia,100
253,Baylor University,Baylor University,100,Baylor University,100,Baylor University,100
254,University of Tartu,University of Tartu,100,University of Tartu,100,University of Tartu,100
255,George Washington University,George Washington University,100,George Washington University,100,George Washington University,100
256,Sciences Po: Institut D'etudes Politiques de Paris,Institut d'Etudes Politiques de Bordeaux,73,Institut d'Etudes Politiques de Bordeaux,86,Institut d'Etudes Politiques de Paris (Sciences Po),100
257,Budapest University Of Economic Sciences,Kurdistan University of Medical Sciences,78,Budapest University of Economic Sciences and Public Administration,100,Budapest University of Economic Sciences and Public Administration,100
258,University Of Arkansas--Fayetteville,University of Arkansas at Fayetteville,92,University of Kansas,90,University of Arkansas at Fayetteville,100
259,Chulalongkorn University,Chulalongkorn University,100,Chulalongkorn University,100,Chulalongkorn University,100
260,The University of Hong Kong,University of Hong Kong,100,Chinese University of Hong Kong,100,Chinese University of Hong Kong,100
261,University Of Zagreb,University of Zagreb,100,University of Zagreb,100,University of Zagreb,100
262,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,100,Universidad Nacional del Nordeste,100,Universidad Nacional del Nordeste,100
263,Hillsdale College,Hillsdale College,100,Hillsdale College,100,Hillsdale College,100
264,Universidad Del Pacifico,Universidad del Pacifico,100,Universidad del Pacifico,100,Universidad del Pacifico,100
265,Universidad Nacional De Asuncion,Universidad Nacional de Asunción,97,Universidad Nacional,100,Universidad Nacional,100
266,Universidad De Costa Rica,Universidad de Costa Rica,100,Universidad de Costa Rica,100,Universidad de Costa Rica,100
267,Gettysburg College,Gettysburg College,100,Gettysburg College,100,Gettysburg College,100
268,Western Kentucky University,Western Kentucky University,100,Western Kentucky University,100,Western Kentucky University,100
269,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro,96,Pontifícia Universidade Católica do Rio de Janeiro,96,Universidade do Rio de Janeiro,100
270,M.V. Lomonosov Moscow State University,Moscow State University,75,Moscow State University,100,Moscow State University,100
271,Washburn University Of Topeka,Washburn University,79,Washburn University,100,Washburn University,100
272,Northwestern University,Northwestern University,100,Northwestern University,100,Northwestern Oklahoma State University,100
273,Michigan State University,Michigan State University,100,Michigan State University,100,Michigan State University,100
274,Michigan Technological University,Michigan Technological University,100,Michigan Technological University,100,Michigan Technological University,100
275,Lycee louis Le Grand,Loyola College in Maryland,52,"Davenport College of Business, Grand Rapids",60,St. Louis Christian College,61
276,"Indian Institute of Technology, Madras","Indian Institute of Technology, Madras",100,"Indian Institute of Technology, Madras",100,"Indian Institute of Technology, Madras",100
277,University Of Alabama In Huntsville,University of Alabama - Huntsville,96,University of Alabama - Huntsville,94,University of Alabama - Huntsville,100
278,Texas A&M University,Texas A&M University,100,Texas A&M University,100,Texas A&M International University,100
279,Queen's University,Queen's University,100,Queen's University,100,Queen's University,100
280,American University of Sharjah,American University of Sharjah,100,American University,100,American University,100
281,University Of Toronto Schools,University of Toronto,84,University of Toronto,100,University of Toronto,100
282,Manhattan College,Manhattan College,100,Manhattan College,100,Manhattan Christian College,100
283,Monash University,Monash University,100,Monash University,100,Monash University,100
284,University Of Oxford,University of Oxford,100,University of Oxford,100,University of Oxford,100
285,Sabanci University,Sabanci University,100,Sabanci University,100,Sabanci University,100
286,California Polytechnic State University,Southern Polytechnic State Univerisity,83,California Polytechnic State University - San Luis Obispo,100,California Polytechnic State University - San Luis Obispo,100
287,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITE,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),96,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),98,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),98
288,Nanjing University of Posts & Telecommunications,Nanjing University of Posts and Telecommunications,96,Nanjing University,100,Nanjing University,100
289,National University of Sciences and Technology,National University of Science and Technology,99,National University,100,National University,100
290,"Rutgers, The State Univerisity of New Jersey-New Brunswick","Rutgers, The State University of New Jersey - Newark",89,"Rutgers, The State University of New Jersey - Newark",92,"Rutgers, The State University of New Jersey - Newark",90
291,Shandong Normal University,Shandong Normal University,100,Shandong Normal University,100,Shandong Normal University,100
292,St. Xavier's College,St. Peter's College,82,"St. Xavier's College, Kolkata",100,"St. Xavier's College, Kolkata",100
293,Chonbuk National University,Chonbuk National University,100,National University,100,National University,100
294,University of Nottingham Malaysia Campus,"University of Nottingham, Malaysia Campus",99,University of Nottingham,100,University of Nottingham,100
295,Washington University in St Louis,Washington University in St. Louis,99,Washington University in St. Louis,97,St. Louis University,100
296,Emory University,Emory University,100,Emory University,100,Emory University,100
297,Laval University,Lamar University,88,Poltava University of Consumer Cooperatives in Ukraine,94,Université Laval,97
298,University Of Notre Dame,University of Notre Dame,100,University of Notre Dame,100,University of Notre Dame,100
299,Universita Degli Studi Di Pavia,Universita Degli Studi Di Trieste,84,Universita Degli Studi Di Trieste,87,Universita Degli Studi Di Trieste,89
300,Tianjin University of Finance and Economics,Tianjin University of Finance & Economics,95,Tianjin University,100,Tianjin University,100
301,Fundacao Getulio Vargas,Fundação Getulio Vargas,91,Escola de Economia de São Paulo - Fundação Getulio Vargas,91,Fundação Getulio Vargas,95
302,Novosibirsk State Technical University,Novosibirsk State Technical University,100,Novosibirsk State Technical University,100,Novosibirsk State Technical University,100
303,College Of William And Mary In Virginia,College of William and Mary,82,College of William and Mary,100,College of William and Mary,100
304,Jilin univerisity,Jilin University,97,Jilin University,94,Jilin University,97
305,Bryn Mawr College,Bryn Mawr College,100,Bryn Mawr College,100,Bryn Mawr College,100
306,University Of Windsor,University of Windsor,100,University of Windsor,100,University of Windsor,100
307,American University,American University,100,American University,100,American Business & Technology University,100
308,Bandung Institute Of Technology,Tatung Institute of Technology,92,Tatung Institute of Technology,93,Tatung Institute of Technology,92
309,Babson College,Babson College,100,Babson College,100,Babson College,100
310,Xavier University,Xavier University,100,St. Xavier University,100,St. Xavier University,100
311,Lehigh University,Lehigh Univervsity,97,Lehigh Univervsity,94,Pennsylvania State University - Berks-Lehigh Valley College,100
312,University of Oxford-Balliol College,University of Trinity College,74,University of Oxford,100,University of Oxford,100
313,American University of Central Asia,American University of Central Asia,100,American University,100,American University,100
314,Federal University of Rio de Janeiro,Universidade do Rio de Janeiro,76,University of Iowa,89,Universidade Federal do Rio de Janeiro,89
315,Lahore University Management  Science,Lahore University of Management Sciences,95,IE University,92,Lahore University of Management Sciences,95
316,Huazhong University Of Science And Technology,Huazhong University of Science and Technology,100,Huazhong University of Science and Technology,100,Huazhong University of Science and Technology,100
317,University Of London,University of London,100,"British Institute in Paris, University of London",100,"British Institute in Paris, University of London",100
318,Universidad Catolica Boliviana,"Universidad Católica Boliviana, La Paz",85,"Universidad Católica Boliviana, Cochabamba",97,"Universidad Católica Boliviana, La Paz",88
319,"Graduate School Of Economics, Getulio Vargas Fndn.",Barcelona Graduate School of Economics,64,Delhi School of Economics,88,Kiev School Of Economics,88
320,Moscow State University,Moscow State University,100,Moscow State University,100,Bauman Moscow State Technical University,100
321,Moscow Institute Of Physics & Technology,Moscow Institute of Physics and Technology,95,Moscow Institute of Physics and Technology,92,Moscow Institute of Physics and Technology,100
322,University Of Mannheim,Universität Mannheim,86,University of Milan,89,Universität Mannheim,88
323,Jilin University,Jilin University,100,Jilin University,100,Jilin Agricultural University,100
324,National Economics University,Hanoi National Economics University,91,Hanoi National Economics University,100,National University,100
325,"Indian Institute Of Technology, Kharagpur","Indian Institute of Technology, Kharagpur",100,"Indian Institute of Technology, Kharagpur",100,"Indian Institute of Technology, Kharagpur",100
326,Tongji University,Tongji University,100,Tongji University,100,Tongji Medical University,100
327,Cairo University,Cairo University,100,Cairo University,100,American University in Cairo,100
328,University Of Moratuwa,University of Moratuwa,100,University of Moratuwa,100,University of Moratuwa,100
329,Universita Degli Studi Di Parma,Universita Degli Studi Di Trieste,84,Universita Degli Studi Di Trieste,87,Universita Degli Studi Di Trieste,89
330,University Of Wyoming,University of Wyoming,100,University of Wyoming,100,University of Wyoming,100
331,University Of Oslo,University of Oslo,100,University of Oslo,100,University of Oslo,100
332,Frankfurt School of Finance & Management,Frankfurt School of Finance & Management,100,Frankfurt School of Finance & Management,100,Frankfurt School of Finance & Management,100
333,University Of Nebraska--Lincoln,University of Nebraska - Lincoln,95,University of Nebraska - Lincoln,94,University of Nebraska - Lincoln,100
334,Pomona College,Pomona College,100,Pomona College,100,Pomona College,100
335,Universitat Zurich,University of Zürich,79,Universitas Riau,81,University of Zürich,81
336,West Virginia University,West Virginia University,100,West Virginia University,100,West Virginia University,100
337,Yeshiva University,Yeshiva University,100,Yeshiva University,100,Yeshiva University,100
338,University Of Delaware,University of Delaware,100,University of Delaware,100,University of Delaware,100
339,Fundacao Getulio Vargas - Escola de Economia de Sao Paulo,Escola De Administracao De Empresas De Sao Paulo,57,Fundação Getulio Vargas,91,Escola de Economia de São Paulo - Fundação Getulio Vargas,97
340,Warsaw School Of Economics,Warsaw School of Economics,100,Warsaw School of Economics,100,Warsaw School of Economics,100
341,Ludwig-Maximilians-University Munich,Ludwig-Maximilians-Universität München,89,Ludwig-Maximilians-Universität München,92,Ludwig-Maximilians-Universität München,92
342,University Of Toronto,University of Toronto,100,University of Toronto,100,University of Toronto,100
343,Universidade De Brasilia,Universidade de Brasília,96,Universidade de Brasília,96,Universidade de Brasília,98
344,University of Trier,University of Trieste,90,University of Trieste,95,University of Trieste,90
345,Southeast University,Southeast University,100,Southeast University,100,Indiana University - Southeast,100
346,College Of Charleston,College of Charleston,100,College of Charleston,100,College of Charleston,100
347,Universita Degli Studi Di Modena,Universita Degli Studi Di Trieste,83,Libera Università degli Studi di Scienze Umane e Tecnologiche,84,Universita Degli Studi Di Trieste,88
348,DePaul University,DePaul University,100,DePaul University,100,DePaul University,100
349,Dongbei University of Finance & Economics,Dongbei University of Finance And Economics,95,University of Jinan,95,Dongbei University of Finance And Economics,100
350,Lake Forest College,Lake Forest College,100,Lake Forest College,100,Lake Forest College,100
351,Sophia University,Sophia University,100,Sophia University,100,Sophia University,100
352,Davidson College,Davidson College,100,Davidson College,100,Davidson College,100
353,Westminster College,Westmont College,86,Westminster College Fulton,100,Westminster College Fulton,100
354,Koc University,Koc University,100,Koc University,100,Koc University,100
355,Open University of Israel,Open University of Israel,100,Open University,100,Open University,100
356,Ecole Normale Superieure D'ulm,Ecole Normale Supérieure de Lyon,84,Ecole Normale Supérieure de Lyon,87,Ecole Normale Supérieure de Lyon,82
357,Centro De Investigacion Y Docenias Economicas,Centro de Estudios Investigación y Tecnología (CEIT),64,Centro de Estudios Investigación y Tecnología (CEIT),67,Centro de Estudios Investigación y Tecnología (CEIT),69
358,University of Minnesota-Twin Cities,University of Minnesota - Morris,81,University of Minnesota,100,University of Minnesota,100
359,Universite De Toulouse-Le-Mirail (toulouse Ii),Université de Toulouse-le-Mirail (Toulouse II),98,Université de Toulouse-le-Mirail (Toulouse II),98,Université de Toulouse-le-Mirail (Toulouse II),99
360,Vassar College,Vassar College,100,Vassar College,100,Vassar College,100
361,Universidad Del Pais Vasco,Universidad del País Vasco,96,Universidad del País Vasco,96,Universidad del País Vasco,98
362,Ohio Wesleyan University,Ohio Wesleyan University,100,Ohio Wesleyan University,100,Ohio University,100
363,University Of Oregon,University of Oregon,100,University of Oregon,100,University of Oregon,100
364,University Of Oxford-Pembroke College,University of St. Jerome's College,73,University of Oxford,100,University of Oxford,100
365,Shri Ram College Of Commerce,Shri Ram College Of Commerce,100,Shri Ram College Of Commerce,100,Shri Ram College Of Commerce,100
366,University Of Queensland,University of Queensland,100,University of Queensland,100,James Cook University of North Queensland,100
367,University Of North Carolina At Chapel Hill,University of North Carolina at Asheville,88,University of North Carolina,100,University of North Carolina,100
368,Ben-Gurion University Of The Negev,Ben-Gurion University of the Negev,100,Ben-Gurion University of the Negev,100,Ben-Gurion University of the Negev,100
369,University Of Brasilia,University of Basel,88,Law University of Bratislava,91,University of Basel,88
370,Knox College,Knox College,100,Knox College,100,Knox College,100
371,Lanzhou University,Lanzhou University,100,Lanzhou University,100,Lanzhou University,100
372,Universita Degli Studi Di Napoli,Universita Degli Studi Di Trieste,83,Universita Degli Studi Di Trieste,84,Universita Degli Studi Di Trieste,88
373,Rice University,Rice University,100,Rice University,100,Rice University,100
374,University Of Massachusetts At Boston,University of Massachusetts at Boston,100,University of Massachusetts at Boston,100,Boston University,100
375,"Imperial College Of Science, Technology & Medicine",Imperial College School of Medicine,75,Berea College,85,PSG College of Technology,91
376,Universita Degli Studi Di Milano,Universita Degli Studi Di Trieste,83,Libera Università degli Studi di Scienze Umane e Tecnologiche,84,Universita Degli Studi Di Trieste,88
377,City University Of New York,City University of New York,100,City University of New York,100,City University of New York,100
378,VIT University (Vellore Institute of Technology),University of Ontario Institute of Technology,80,Vellore Institute of Technology,100,Vellore Institute of Technology,100
379,Boston University,Boston University,100,Boston University,100,Boston University,100
380,Quinnipiac College,Quinnipiac College,100,Quinnipiac College,100,Quinnipiac College,100
381,Foreign Trade University,Foreign Trade University,100,Foreign Trade University,100,Chongqing Normal University Foreign Trade and Business College,100
382,Beloit College,Beloit College,100,Beloit College,100,Beloit College,100
383,Plymouth State University,Utah State University,87,Utah State University,98,University of Plymouth,93
384,University Of Western Ontario,University of Western Ontario,100,University of Western Ontario,100,Western University,100
385,Australian National University,Australian National University,100,National University,100,National University,100
386,Pontificia Universidad Javeriana Cali,Pontificia Universidad Javeriana,93,Pontificia Universidad Javeriana,100,Pontificia Universidad Javeriana,100
387,Martin Luther University,Martin University,83,Hue University,93,Martin University,100
388,University Of Melbourne,University of Melbourne,100,University of Melbourne,100,University of Melbourne,100
389,University Of Minnesota--Minneapolis-St. Paul,University of Minnesota - Morris,73,University of Minnesota,100,University of Minnesota,100
390,Universite Paris Dauphine (Paris IX),Université Paris-Dauphine (Paris IX),94,Université Paris-Dauphine (Paris IX),94,Université Paris-Dauphine (Paris IX),98
391,University Of Oklahoma,University of Oklahoma,100,University of Oklahoma,100,Oklahoma State University - Institute of Technology,100
392,Universidade Estadual De Campinas,Universidade Estadual de Campinas,100,Universidade Estadual de Campinas,100,Universidade Estadual de Campinas,100
393,University Of Cincinnati,University of Cincinnati,100,University of Cincinnati,100,University of Cincinnati,100
394,Lillehammer University College,Lillehammer University College,100,Lillehammer University College,100,Lillehammer University College,100
395,Univ. Catolica 'nuestra Senora De La Asuncion',Universidad Católica Nuestra Senora de la Asunción,85,Universidad Católica Nuestra Senora de la Asunción,84,Universidad Católica Nuestra Senora de la Asunción,90
396,University Of Durham,University of Durham,100,University of Durham,100,University of Durham,100
397,Carroll University,Carroll University,100,Carroll University,100,Carroll University,100
398,Universita Degli Studi Di Firenze,Universita Degli Studi Di Trieste,88,Libera Università degli Studi di Scienze Umane e Tecnologiche,91,Universita Degli Studi Di Trieste,88
399,State University Of New York At Farmingdale,State University of New York at Binghamton,85,Art University,93,New York University,100
400,Auburn University,Auburn University,100,Auburn University,100,Auburn University,100
401,Wesleyan University,Wesleyan University,100,Dakota Wesleyan University,100,Dakota Wesleyan University,100
402,Babcock University,Babcock University,100,Babcock University,100,Babcock University,100
403,National Technical University of Ukraine,National Technical University of Athens,89,Cag University,93,National University,100
404,B.M.S. College of Engineering,B.M.S. College of Engineering,100,B.M.S. College of Engineering,100,B.M.S. College of Engineering,100
405,International Christian University,International Christian University,100,International Christian University,100,International Christian University,100
406,Illinois State University,Illinois State University,100,Illinois State University,100,Illinois State University,100
407,East China Normal University,East China Normal University,100,East China Normal University,100,East China Normal University,100
408,Universidade Federal Fluminense,Universidade Federal Fluminense,100,Universidade Federal Fluminense,100,Universidade Federal Fluminense,100
409,Wroclaw University of Economics,Wroclaw University of Economics,100,Wroclaw University of Economics,100,University of Wroclaw,100
410,Franklin And Marshall College,Franklin and Marshall College,100,Franklin and Marshall College,100,Franklin and Marshall College,100
411,Athens University of Economics and Business,Athens University of Economics and Business,100,Athens University of Economics and Business,100,Athens University of Economics and Business,100
412,Seton Hall University,Seton Hall University,100,Seton Hall University,100,Seton Hall University,100
413,University Of Ottawa,University of Ottawa,100,University of Ottawa,100,Ottawa University,100
414,"Hunter College, City University Of New York",City University of New York,77,City University of New York,100,City University of New York,100
415,Universitat Hamburg,Universität Hamburg,95,Hafencity Universität Hamburg,95,Universität Hamburg,97
416,Ecole Nationale Des Ponts Et Chaussees,Ecole Nationale des Ponts et Chausees,99,Ecole Nationale des Ponts et Chausees,97,Ecole Nationale des Ponts et Chausees,99
417,University Of Tennessee At Knoxville,University of Tennessee - Knoxville,96,University of Tennessee - Knoxville,94,University of Tennessee - Knoxville,100
418,New  York University,New York University,100,New York University,100,City University of New York,100
419,Universidad De Montevideo,Universidad de Montevideo,100,Universidad de Montevideo,100,Universidad de Montevideo,100
420,University Of Western Australia,University of Western Australia,100,University of Western Australia,100,University of Western Australia,100
421,University Of Alberta,University of Alberta,100,University of Alberta,100,Concordia University College of Alberta,100
422,Shanghai International Studies University,Shanghai International Studies University,100,Shanghai International Studies University,100,Shanghai International Studies University,100
423,Tianjin Foreign Studies University,Tianjin Foreign Studies University,100,Tianjin Foreign Studies University,100,Tianjin Foreign Studies University,100
424,Texas State University,Texas State University,100,Southwest Texas State University,100,Southwest Texas State University,100
425,University of California San Diego,"University of California, San Diego",99,"University of California, San Diego",97,"University of California, San Diego",100
426,The Interdisciplinary Center Herzliya,The Interdisciplinary Center Herzliya,94,The Interdisciplinary Center Herzliya,100,The Interdisciplinary Center Herzliya,100
427,Ibmec Sao Paulo,Ibmec Sao Paulo,100,Ibmec Sao Paulo,100,Ibmec Sao Paulo,100
428,Higher School of Economics,Higher School of Economics,100,Higher School of Economics,100,Higher School of Economics,100
429,Boise State University,Boise State University,100,Boise State University,100,Boise State University,100
430,William Marsh Rice University,William Paterson University,79,Rice University,100,Rice University,100
431,North Central College,North Central College,100,Central College,100,Central College,100
432,Illinois College,Illinois College,100,Illinois College,100,"Benedictine University, Springfield College in Illinois",100
433,Shandong University,Shandong University,100,Shandong University,100,Shandong Agricultural University,100
434,University of Macau,University of Macau,100,University of Macau,100,University of Macau,100
435,Luiss Guido Carli University,Luiss Guido Carli University,100,Luiss Guido Carli University,100,Luiss Guido Carli University,100
436,University of British Columbia,University of British Columbia,100,University of British Columbia,100,Columbia University,100
437,University Of York,University of York,100,University of York,100,City University of New York,100
