,name,best_ratio_match,best_ratio,best_partial_ratio_match,best_partial_ratio,best_token_sort_ratio_match,best_token_sort_ratio
703,Kyiv School of Economics,Kiev School Of Economics,96,Kiev School Of Economics,96,Kiev School Of Economics,96
704,Indira Gandhi National Open University,Indira Gandhi National Open University,100,Open University,100,National University,100
705,Wroclaw University of Technology,Brno University of Technology,89,University of Technology,100,University of Technology,100
706,Indian Institute of Management Ahmedabad,Indian Institute of Management Ahmedabad,100,Indian Institute of Management Ahmedabad,100,Indian Institute of Management Ahmedabad,100
707,Roosevelt University,Roosevelt University,100,Roosevelt University,100,Roosevelt University,100
708,University Of Guelph,University of Guelph,100,University of Guelph,100,University of Guelph,100
709,Bergische Universitaet Wuppertal,Bergische Universität Gesamthochschule Wuppertal,78,Rice University,87,Bergische Universität Gesamthochschule Wuppertal,76
710,"Columbia University, Barnard College",Holar University College,73,Columbia University,100,Barnard College - Columbia University,100
711,Toulouse school of Economics(M2),Toulouse school of Economics,93,Toulouse school of Economics,100,Toulouse school of Economics,100
712,Georgia Institute Of Technology,Georgia Institute of Technology,100,Georgia Institute of Technology,100,Georgia Institute of Technology,100
713,University Of Missouri--Kansas City,University of Missouri - Kansas City,96,University of Missouri - Kansas City,94,City University,100
714,Universidad Colegio Mayor de Nuestra Senora del Ro,Universidad Nuestra Senora de La Paz,72,Universidad CES,87,Universidad Mayor,100
715,"Korea Development Institute, School of Pub. Policy & Management",KDI School of Public Policy and Management,69,KDI School of Public Policy and Management,82,Institute of Management Development - Ohrid,92
716,Toulouse School of Economics,Toulouse school of Economics,100,Toulouse school of Economics,100,Toulouse school of Economics,100
717,Oklahoma State University--Main Campus,Oklahoma State University - Tulsa,82,Oklahoma State University,100,Oklahoma State University,100
718,University Of Leicester,University of Leicester,100,University of Leicester,100,University of Leicester,100
719,Groupe HEC,AgroParisTech,52,Karel De Grote Hogeschool,70,Groupe Sup de Co Amiens Picardie,75
720,University Of Memphis,University of Memphis,100,University of Memphis,100,University of Memphis,100
721,University Of Wisconsin--Milwaukee,University of Wisconsin - Milwaukee,96,University of Wisconsin - Milwaukee,94,University of Wisconsin - Milwaukee,100
722,University Of Cambridge-Pembroke College,University of Cambridge,73,University of Cambridge,100,Cambridge College,100
723,Kent State University,Kent State University,100,Kent State University,100,Kent State University,100
724,Bilkent University,Bilkent University,100,Bilkent University,100,Bilkent University,100
725,Universita Commerciale 'Luigi Bocconi',University of Commerce Luigi Bocconi,86,University of Commerce Luigi Bocconi,86,University of Commerce Luigi Bocconi,89
726,Tulane University,Ulsan University,91,The Tulane University of New Orleans,100,The Tulane University of New Orleans,100
727,Instituto De Matematica Pura E Aplicada,Instituto Nacional de Matemática Pura e Aplicada - IMPA,100,Instituto Nacional de Matemática Pura e Aplicada - IMPA,100,Instituto Nacional de Matemática Pura e Aplicada - IMPA,100
728,Pontificia Universidad Catolica Del Peru,Pontificia Universidad Católica del Perú,95,Pontificia Universidad Católica del Perú,95,Pontificia Universidad Católica del Perú,97
729,Azusa Pacific University,Azusa Pacific University,100,Azusa Pacific University,100,Azusa Pacific University,100
730,Instituto TecnÃ³logico de MÃ©xico (ITAM),Instituto Tecnológico Autonómo de México,100,Instituto Tecnológico Autonómo de México,100,Instituto Tecnológico Autonómo de México,100
731,University Of Texas At Dallas,University of Texas at Dallas,100,University of Texas,100,University of Dallas,100
732,Institute Of Social Studies,Institute of Social Studies,100,Institute of Social Studies,100,Institute of Social Studies,100
733,University Of North Carolina At Charlotte,University of North Carolina at Charlotte,100,University of North Carolina,100,University of North Carolina,100
734,University Of Kent At Canterbury,University of Canterbury,86,University of Kent,100,University of Kent,100
735,San Francisco State University,San Francisco State University,100,San Francisco State University,100,San Francisco State University,100
736,University of Oulu,University of Oulu,100,University of Oulu,100,University of Oulu,100
737,New York University School of Law,Southwestern University School of Law,77,New York University,100,"City University of New York, School of Law at Queens College",100
738,University Of Wisconsin- Madison,University of Wisconsin - Madison,98,University of Wisconsin - Madison,97,University of Wisconsin - Madison,100
739,Universidad Alberto Hurtado,Universidad Alberto Hurtado,100,Universidad Alberto Hurtado,100,Universidad Alberto Hurtado,100
740,University of York,University of York,100,University of York,100,City University of New York,100
741,UFSCAR,Universidade Federal de São Carlos,100,Universidade Federal de São Carlos,100,Universidade Federal de São Carlos,100
742,University Of Helsinki,University of Helsinki,100,University of Helsinki,100,Helsinki University of Technology,100
743,Xi`an Jiaotong University,Xi'an Jiaotong University,96,Xi'an Jiaotong University,96,Xi'an Jiaotong-Liverpool University,100
744,Florida Atlantic University,Florida Atlantic University,100,Atlantic University,100,Atlantic University,100
745,"California State University, Long Beach","California State University, Long Beach",100,"California State University, Long Beach",100,"California State University, Long Beach",100
746,Centre for Development Studies,University for Development Studies,81,University for Development Studies,87,University for Development Studies,87
747,Osaka University,Osaka University,100,Osaka University,100,Osaka City University,100
748,Washington State University,Washington State University,100,Washington State University,100,Washington State University,100
