,newid,Institution of highest degree obtained,name
712,467438,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
713,296259,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
714,304898,Harvard University,Harvard University
715,983480,Princeton University,Princeton University
716,66289,-,
717,326672,New York University,New York University
718,4046,University of North Carolina at Chapel Hill,University of North Carolina
719,947906,Georgetown University,Georgetown University
720,988195,University of Virginia,University of Virginia
721,46299,-,
722,643904,University of North Carolina,University of North Carolina
723,818109,Yale University,Yale University
724,639988,-,
725,450110,-,
726,744541,-,
727,407317,Massachusetts Institute of Technology,Massachusetts Institute of Technology
728,244729,Northwestern University,Northwestern University
729,837239,The Johns Hopkins University,Johns Hopkins University
730,294111,"University of California, Berkeley","University of California, Berkeley"
731,854832,-,
732,905183,University of Southern California,University of Southern California
733,575413,UC Berkeley,"University of California, Berkeley"
734,222026,Brown University,Brown University
735,827932,Columbia University in the City of New York,Columbia University
736,641396,The University of Georgia,University of Georgia
737,944639,-,
738,791541,Renmin University of China,Renmin University of China
739,547490,-,
740,722245,"Baruch College, City University of New York",City University of New York - Baruch College
741,151042,UCLA Anderson School of Management,"University of California, Los Angeles - Anderson School Of Management"
742,556211,"Harvard University, John F. Kennedy School of Government",Harvard University - Kennedy School Of Government
743,599995,-,
744,343957,-,
745,789702,Stanford University,Stanford University
746,777142,Princeton University,Princeton University
747,970522,Saint Louis University,Saint Louis University
748,291541,Stockholm School of Economics,Stockholm School of Economics
749,978734,Harvard Business School,Harvard University - Business School
750,348497,University of São Paulo,University of São Paulo
751,297396,Harvard University,Harvard University
752,112248,Massachusetts Institute of Technology,Massachusetts Institute of Technology
753,572489,Concordia University,Concordia University
754,607318,New York University School of Law,New York University - School Of Law
755,943254,University of California San Diego,"University of California, San Diego"
756,87347,Columbia University in the City of New York,Columbia University
757,159148,-,
758,850072,-,
759,168668,University of Pennsylvania,University of Pennsylvania
760,837334,Princeton University,Princeton University
761,650004,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
762,102302,-,
763,177691,"University of California, Berkeley","University of California, Berkeley"
764,508162,-,
765,650533,Cornell University,Cornell University
766,492566,-,
767,669881,University of Notre Dame,University of Notre Dame
768,655002,University of Arizona,University of Arizona
769,888117,University of Maryland,University of Maryland
770,765153,"University of California, Berkeley","University of California, Berkeley"
771,200413,Brown University,Brown University
772,780055,Stanford University,Stanford University
773,838943,-,
774,495644,"St Xaviers College, Bangalore","St Xaviers College, Bangalore"
775,305809,-,
776,863817,The Johns Hopkins University,Johns Hopkins University
777,310390,National University of Singapore,National University of Singapore
778,848929,Boston University,Boston University
779,220047,-,
780,315869,-,
781,922487,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
782,120019,Columbia University in the City of New York,Columbia University
783,550131,"University of California, San Diego","University of California, San Diego"
784,331409,Harvard University,Harvard University
785,231702,New York University,New York University
786,596898,-,
787,469702,-,
788,448708,Cornell University,Cornell University
789,764205,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
790,566865,-,
791,901937,-,
792,266772,-,
793,500024,Harvard University,Harvard University
794,124762,University of Tokyo,Science University of Tokyo
795,104088,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
796,289104,-,
797,785702,"The Graduate Center, City University of New York",City University of New York - Graduate Center
798,16742,"University of California, Berkeley","University of California, Berkeley"
799,807657,-,
800,19794,Washington University in St. Louis,Washington University in St. Louis
801,756696,Arizona State University,Arizona State University
802,441348,-,
803,219839,-,
804,333297,Arizona State University - W. P. Carey School of Business,Arizona State University - W P Carey School Of Business
805,445460,-,
806,130489,Duke University,Duke University
807,246722,-,
808,701691,MIT Sloan School of Management,Massachusetts Institute of Technology - Sloan School Of Management
809,701941,Columbia University in the City of New York,Columbia University
810,360077,-,
811,315373,-,
812,471145,Duke University,Duke University
813,841159,Universitat Pompeu Fabra - Barcelona,Universitat Pompeu Fabra
814,438013,California Institute of Technology,California Institute of Technology
815,921597,-,
816,305591,Stanford University,Stanford University
817,456103,Columbia University in the City of New York,Columbia University
818,225913,Harvard University,Harvard University
819,269248,-,
820,517533,-,
821,618829,Duke University,Duke University
822,338737,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
823,437691,University of Minnesota-Twin Cities,University of Minnesota
824,658647,"University of California, Los Angeles","University of California, Los Angeles"
825,118137,University of Cambridge,University of Cambridge
826,134142,Yale University,Yale University
827,323938,Harvard University,Harvard University
828,569379,-,
829,391381,University of Minnesota,University of Minnesota
830,48131,-,
831,838482,Chongqing University,Chongqing University
832,869060,The University of Manchester,University of Manchester
833,171359,University of Michigan,University of Michigan
834,961122,-,
835,287718,Northwestern University,Northwestern University
836,529800,University of Maryland,University of Maryland
837,840723,Arizona State University,Arizona State University
838,654857,European University Institute,European University Institute
839,64560,-,
840,565609,-,
841,381789,-,
842,968825,Penn State University,Pennsylvania State University
843,206746,-,
844,425703,-,
845,765314,University of Michigan,University of Michigan
846,107408,-,
847,135370,-,
848,983745,Northwestern University,Northwestern University
849,208327,-,
850,327438,University of Minnesota-Twin Cities,University of Minnesota
851,117511,Delhi School of Economics,Delhi School of Economics
852,605651,"University of California, Los Angeles","University of California, Los Angeles"
853,365596,Columbia Business School,Columbia University - Business School
854,418609,Simon Fraser University,Simon Fraser University
855,58816,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
856,377146,Lehigh University College of Business,Lehigh University College of Business
857,34802,-,
858,217563,-,
859,794950,Duke University,Duke University
860,871184,New York University School of Law,New York University - School Of Law
861,384456,University of Minnesota,University of Minnesota
862,458731,-,
863,859999,-,
864,560978,"University of California, Davis","University of California, Davis"
865,890469,David Geffen School of Medicine at UCLA,"University of California, Los Angeles - David Geffen School Of Medicine"
866,544145,Boston University,Boston University
867,271283,-,
868,491388,-,
869,92066,Stanford University,Stanford University
870,986658,Getulio Vargas Foundation / FGV,Fundação Getulio Vargas
871,477479,University of Wisconsin-Madison,University of Wisconsin - Madison
872,809721,"University of California, San Diego","University of California, San Diego"
873,11119,-,
874,123906,-,
875,928726,University of Minnesota-Twin Cities,University of Minnesota
876,71305,Yale University,Yale University
877,717416,Cornell University Graduate School,Cornell University - Graduate School
878,269208,Washington University in St. Louis,Washington University in St. Louis
879,351363,New York University,New York University
880,600294,-,
881,50993,-,
882,687808,Texas A&M University,Texas A&M University
883,629810,-,
884,597642,Universitat Pompeu Fabra,Universitat Pompeu Fabra
885,834886,Yale University,Yale University
886,819135,University of Wisconsin-Madison,University of Wisconsin - Madison
887,55719,University of Wisconsin-Madison,University of Wisconsin - Madison
888,401987,-,
889,80264,Brown University,Brown University
890,650194,Cambridge University,University of Cambridge
891,871306,-,
892,895565,University of Pennsylvania,University of Pennsylvania
893,629274,"University of California, Los Angeles","University of California, Los Angeles"
894,446750,Yale University,Yale University
895,381053,UCL,University College London
896,86341,-,
897,107901,-,
898,791745,"Indian Institute of Technology, Madras","Indian Institute of Technology, Madras"
899,546741,Toulouse School of Economics,Toulouse School of Economics
900,92698,The University of Texas at Austin,University of Texas
901,917052,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
902,720654,New York University - Leonard N. Stern School of Business,New York University - Stern School Of Business
903,791139,-,
904,452215,-,
905,538897,-,
906,52055,-,
907,28379,MIT Sloan School of Management,Massachusetts Institute of Technology - Sloan School Of Management
908,557555,"University of California, Berkeley","University of California, Berkeley"
909,810873,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
910,518317,New York University,New York University
911,266874,-,
912,559802,Texas McCombs School of Business,Texas McCombs School of Business
913,690853,-,
914,918504,University of Minnesota-Twin Cities,University of Minnesota
915,256294,Duke University,Duke University
916,453604,"University of California, Berkeley","University of California, Berkeley"
917,394907,-,
918,509633,-,
919,594477,UNSW,University of New South Wales
920,999460,University of Wisconsin-Madison,University of Wisconsin - Madison
921,425103,University of California,"University of California, Berkeley"
922,946356,-,
923,501577,-,
924,16600,Columbia University in the City of New York,Columbia University
925,135558,-,
926,337871,University of Sussex,University of Sussex
927,619749,New York University,New York University
928,231204,University of Connecticut,University of Connecticut
929,696010,-,
930,800508,University of Minnesota,University of Minnesota
931,461508,University of California,"University of California, Berkeley"
932,976052,Duke University,Duke University
933,707207,-,
934,191583,Arizona State University - W. P. Carey School of Business,Arizona State University - W P Carey School Of Business
935,585947,California Institute of Technology,California Institute of Technology
936,403424,-,
937,603944,The University of Texas at Austin,University of Texas
938,808218,"University of California, Berkeley","University of California, Berkeley"
939,171371,University of Sussex,University of Sussex
940,430668,The Wharton School,University of Pennsylvania - The Wharton School
941,487145,-,
942,149659,-,
943,500368,Stanford University,Stanford University
944,580103,Northwestern University,Northwestern University
945,177910,BI Norwegian Business School,BI Norwegian Business School
946,702023,"University of California, Berkeley","University of California, Berkeley"
947,137260,Cornell University,Cornell University
948,977598,Columbia University in the City of New York,Columbia University
949,559322,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
950,977146,Princeton University,Princeton University
951,381937,University of Michigan,University of Michigan
952,501526,University of Michigan,University of Michigan
953,841271,New York University,New York University
954,913023,University of Warwick - Warwick Business School,University of Warwick - Warwick Business School
955,711706,University of Minnesota,University of Minnesota
956,974064,-,
957,975316,University of Hong Kong,University of Hong Kong
958,168516,-,
959,156204,Georgetown University,Georgetown University
960,263898,New York University,New York University
961,436075,Texas A&M University,Texas A&M University
962,352375,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
963,129069,Stanford University,Stanford University
964,518032,Brown University,Brown University
965,617737,-,
966,433188,-,
967,255356,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
968,337561,University of Houston,University of Houston
969,989269,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
970,666778,Cornell University,Cornell University
971,533174,Stanford University,Stanford University
972,464761,Princeton University,Princeton University
973,522003,-,
974,724579,University of Toronto,University of Toronto
975,850801,University of Maryland,University of Maryland
976,147951,International University - VNU HCMC,International University - VNU-HCM
977,915850,Columbia University,Columbia University
978,827129,The University of Chicago,University of Chicago
979,78942,Yale University,Yale University
980,701374,-,
981,137355,-,
982,19176,UCLA,"University of California, Los Angeles"
983,505454,Harvard University,Harvard University
984,21770,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
985,831813,The Johns Hopkins University School of Medicine,Johns Hopkins University - School Of Medicine
986,641031,Rice University,Rice University
987,10653,University of Wisconsin-Madison,University of Wisconsin - Madison
988,634087,DePaul University,DePaul University
989,13054,-,
990,17650,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
991,393788,-,
992,915297,-,
993,898412,Yale University,Yale University
994,408779,Michigan State University,Michigan State University
995,712262,-,
996,556832,-,
997,752068,-,
998,650761,Stanford University,Stanford University
999,944235,Duke University,Duke University
1000,411876,-,
1001,580703,-,
1002,58706,University of Pennsylvania,University of Pennsylvania
1003,188991,Peking University,Peking University
1004,14411,-,
1005,881010,-,
1006,715061,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
1007,931826,-,
1008,547523,University of Essex,University of Essex
1009,218802,New York University,New York University
1010,25695,Lingnan University,Lingnan University
1011,733663,-,
1012,491181,-,
1013,201223,University of Pittsburgh - Joseph M. Katz Graduate School of Business,University of Pittsburgh - Joseph M Katz Graduate School Of Business
1014,631449,University of Pittsburgh,University of Pittsburgh
1015,699440,Columbia University,Columbia University
1016,909492,-,
1017,214695,University of Pennsylvania,University of Pennsylvania
1018,575876,The Wharton School,University of Pennsylvania - The Wharton School
1019,505854,"University of California, San Diego","University of California, San Diego"
1020,72559,University of Michigan,University of Michigan
1021,117368,The Wharton School,University of Pennsylvania - The Wharton School
1022,748184,-,
1023,154345,New York University,New York University
1024,395144,The Ohio State University,Ohio State University
1025,438703,-,
1026,450343,-,
1027,930199,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1028,842900,-,
1029,943750,University of Michigan,University of Michigan
1030,648168,-,
1031,47748,"University of California, Los Angeles","University of California, Los Angeles"
1032,151969,New York University,New York University
1033,418061,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1034,535240,Duke University,Duke University
1035,852781,Texas A&M University,Texas A&M University
1036,133976,Carnegie Mellon University - Tepper School of Business,Carnegie Mellon University - Tepper School Of Business
1037,892268,University of Washington,University of Washington
1038,539710,University of Pennsylvania,University of Pennsylvania
1039,85007,"University of California, Los Angeles","University of California, Los Angeles"
1040,961119,Yale Law School,Yale University - Law School
1041,339353,The Wharton School,University of Pennsylvania - The Wharton School
1042,942284,-,
1043,957358,"University of California, San Diego","University of California, San Diego"
1044,588691,-,
1045,664868,Michigan State University,Michigan State University
1046,396345,Boston College,Boston College
1047,677017,University of Pennsylvania,University of Pennsylvania
1048,350279,University of Washington,University of Washington
1049,350249,"University of California, Berkeley","University of California, Berkeley"
1050,504918,-,
1051,591550,-,
1052,890938,University of Warwick,University of Warwick
1053,664474,Cornell University,Cornell University
1054,481907,"Stanford University, Graduate School of Business",Stanford University - Graduate School Of Business
1055,867896,-,
1056,113027,"Trinity College, Dublin","University of Dublin, Trinity College"
1057,562232,-,
1058,997646,Princeton University,Princeton University
1059,322418,London Business School,London Business School
1060,109838,The George Washington University,George Washington University
1061,666523,Cornell University,Cornell University
1062,393994,University of Minnesota-Twin Cities,University of Minnesota
1063,219311,-,
1064,236981,Washington University in St. Louis,Washington University in St. Louis
1065,734185,The London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1066,768396,-,
1067,273414,NYU Stern School of Business,New York University - Stern School Of Business
1068,759016,University of Minnesota,University of Minnesota
1069,971365,-,
1070,779511,-,
1071,464903,Princeton University,Princeton University
1072,168077,-,
1073,594675,-,
1074,177447,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
1075,97979,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1076,396518,University of Minnesota,University of Minnesota
1077,610551,University of Wisconsin-Madison,University of Wisconsin - Madison
1078,223929,Boston University,Boston University
1079,413275,-,
1080,267917,-,
1081,759912,-,
1082,660471,Stanford University,Stanford University
1083,639962,George Mason University,George Mason University
1084,399090,"Indian Institute of Management, Calcutta","Indian Institute of Management, Calcutta"
1085,371947,University of Kent,University of Kent
1086,24738,-,
1087,715404,University in St. Louis,Washington University in St. Louis
1088,699100,-,
1089,330518,-,
1090,278632,New York University,New York University
1091,911780,Yale University,Yale University
1092,285812,University of AmsterdamUniversity of Amsterdam,University of Amsterdam
1093,229189,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
1094,350471,-,
1095,105755,-,
1096,783117,Yale University,Yale University
1097,201691,Northwestern University,Northwestern University
1098,384319,-,
1099,109318,-,
1100,244530,-,
1101,171587,University of Maryland,University of Maryland
1102,994145,Brandeis University,Brandeis University
1103,604528,Case Western Reserve University School of Medicine,Case Western Reserve University - School Of Medicine
1104,865256,Seoul National University,Seoul National University
1105,438481,-,
1106,518133,The Johns Hopkins University,Johns Hopkins University
1107,514710,-,
1108,144924,"University of California, Berkeley, Haas School of Business","University of California, Berkeley - Haas School Of Business"
1109,975626,Tsinghua University,Tsinghua University
1110,208606,University of Maryland,University of Maryland
1111,945351,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1112,675959,Columbia University,Columbia University
1113,672530,Columbia University in the City of New York,Columbia University
1114,577387,"University of California, Berkeley","University of California, Berkeley"
1115,255076,-,
1116,148066,Princeton University,Princeton University
1117,314046,Duke University,Duke University
1118,488821,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science & Technology
1119,153869,University of Calgary,University of Calgary
1120,524341,-,
1121,898959,-,
1122,819906,Harvard University,Harvard University
1123,695165,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),Narsee Monjee Institute of Management Studies
1124,520175,University of Pennsylvania,University of Pennsylvania
1125,347251,Columbia University in the City of New York,Columbia University
1126,587591,Yale University - Yale School of Management,Yale University - School Of Management
1127,621794,Harvard University,Harvard University
1128,122644,-,
1129,119685,-,
1130,636522,Georgia State University - Andrew Young School of Policy Studies,Georgia State University - Andrew Young School Of Policy Studies
1131,735225,Stanford University,Stanford University
1132,120337,Columbia University,Columbia University
1133,632664,Duke University,Duke University
1134,586527,"University of California, Berkeley","University of California, Berkeley"
1135,685788,"University of California, Berkeley","University of California, Berkeley"
1136,622666,-,
1137,15185,Università Commerciale 'Luigi Bocconi'​,Università Bocconi
1138,514659,New York University,New York University
1139,27662,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1140,589609,-,
1141,464848,New York University,New York University
1142,166408,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1143,996282,Stanford University,Stanford University
1144,214051,University of Southern California - Marshall School of Business,University of Southern California - Marshall School Of Business
1145,350231,-,
1146,614451,"University of California, San Diego","University of California, San Diego"
1147,225021,Stanford University,Stanford University
1148,4966,Arizona State University,Arizona State University
1149,275997,University of Wisconsin-Madison,University of Wisconsin - Madison
1150,575723,-,
1151,724708,UC Berkeley School of Information,"University of California, Berkeley - School Of Information"
1152,333688,University of Wisconsin-La Crosse,University of Wisconsin - La Crosse
1153,594054,Harvard University,Harvard University
1154,124407,Harvard University,Harvard University
1155,417445,Georgetown University,Georgetown University
1156,271397,"University of California, San Diego","University of California, San Diego"
1157,505670,University of North Carolina at Chapel Hill,University of North Carolina
1158,997134,The London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1159,952511,University of Minnesota Twin Cities,University of Minnesota
1160,881044,-,
1161,168506,-,
1162,382992,Università Commerciale 'Luigi Bocconi',Università Bocconi
1163,878007,-,
1164,612990,University of Wisconsin-Madison,University of Wisconsin - Madison
1165,740363,-,
1166,322858,University of Pennsylvania,University of Pennsylvania
1167,677538,"University of California, Berkeley","University of California, Berkeley"
1168,482116,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1169,111257,Brown University,Brown University
1170,822966,University of Michigan,University of Michigan
1171,388217,New York University,New York University
1172,717881,-,
1173,727171,University of Southern California - Marshall School of Business,University of Southern California - Marshall School Of Business
1174,331771,University of Michigan Medical/Graduate School,University of Michigan - Medical School
1175,374813,University of Wisconsin-Madison,University of Wisconsin - Madison
1176,287896,Northwestern University,Northwestern University
1177,913609,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1178,160933,University of Wyoming College of Business,University of Wyoming - College Of Business
1179,38878,-,
1180,737961,-,
1181,786383,-,
1182,344117,"University of California, Los Angeles","University of California, Los Angeles"
1183,821009,The University of Texas at Austin,University of Texas
1184,261438,Cornell University,Cornell University
1185,226192,NYU Stern School of Business,New York University - Stern School Of Business
1186,701082,Carnegie Mellon University - Tepper School of Business,Carnegie Mellon University - Tepper School Of Business
1187,314491,-,
1188,547467,Boston University,Boston University
1189,393750,University of Pennsylvania,University of Pennsylvania
1190,780663,-,
1191,426441,Harvard University,Harvard University
1192,372315,University of Michigan,University of Michigan
1193,211220,-,
1194,845942,"University of California, Berkeley, Haas School of Business","University of California, Berkeley - Haas School Of Business"
1195,317988,-,
1196,710405,Washington University in St. Louis,Washington University in St. Louis
1197,772351,University of Minnesota,University of Minnesota
1198,441071,-,
1199,379428,-,
1200,517440,Princeton University,Princeton University
1201,290129,New York University,New York University
1202,966537,Stanford University,Stanford University
1203,38716,Stanford University,Stanford University
1204,233625,Michigan State University,Michigan State University
1205,649380,University of Michigan,University of Michigan
1206,54340,-,
1207,47420,"University of Nevada, Reno",University of Nevada - Reno
1208,354045,Queen's University,Queen's University
1209,692192,Technical University Berlin,Technical University Berlin
1210,12488,Princeton University,Princeton University
1211,78991,-,
1212,949726,-,
1213,331866,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1214,832554,Tsinghua University,Tsinghua University
1215,841834,-,
1216,785276,-,
1217,148564,New York University,New York University
1218,683592,-,
1219,321199,"University of California, Berkeley","University of California, Berkeley"
1220,789860,Northern Illinois University,Northern Illinois University
1221,393671,-,
1222,966922,The University of British Columbia,University of British Columbia
1223,780470,Stanford University,Stanford University
1224,662435,Texas A&M University,Texas A&M University
1225,654653,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1226,789497,Seoul National University,Seoul National University
1227,358967,Columbia University in the City of New York,Columbia University
1228,125659,"University of California, Berkeley","University of California, Berkeley"
1229,262228,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
1230,618306,-,
1231,296720,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
1232,510314,-,
1233,279816,University of California San Diego,"University of California, San Diego"
1234,520357,-,
1235,521148,-,
1236,270753,University of Wisconsin-Madison,University of Wisconsin - Madison
1237,212011,-,
1238,766263,Columbia University - Columbia Business School,Columbia University - Business School
1239,828254,-,
1240,901985,-,
1241,836999,-,
1242,539095,-,
1243,82385,University of Oxford,University of Oxford
1244,895052,George Mason University,George Mason University
1245,64473,-,
1246,693448,-,
1247,77446,University of Pennsylvania,University of Pennsylvania
1248,592907,-,
1249,21714,Vanderbilt University,Vanderbilt University
1250,292675,-,
1251,709317,-,
1252,622863,University of Virginia,University of Virginia
1253,776313,-,
1254,951207,Stanford University,Stanford University
1255,146378,-,
1256,638877,-,
1257,882543,-,
1258,135949,DePaul University,DePaul University
1259,663582,MIT,Massachusetts Institute of Technology
1260,159749,Yale University,Yale University
1261,350715,University of Maryland,University of Maryland
1262,794676,University of Oxford (Lincoln College),University of Oxford - Lincoln College
1263,70129,-,
1264,383113,Paris School of Economics,Paris School of Economics
1265,908799,Northwestern University,Northwestern University
1266,654457,Duke University,Duke University
1267,695310,Princeton University,Princeton University
1268,722201,Queen Mary University of London,Queen Mary University of London
1269,641834,UNC Kenan-Flagler Business School,University of North Carolina - Kenanflagler Business School
1270,539798,Columbia University in the City of New York,Columbia University
1271,244238,New York University,New York University
1272,157775,Northwestern University,Northwestern University
1273,7670,Seoul National University,Seoul National University
1274,187793,University of Wisconsin-Madison,University of Wisconsin - Madison
1275,543777,Columbia Engineering,Columbia University - Engineering School
1276,380491,The Wharton School,University of Pennsylvania - The Wharton School
1277,146364,-,
1278,239477,Northwestern University,Northwestern University
1279,293398,-,
1280,65303,University of Southern California,University of Southern California
1281,675218,-,
1282,285282,University of Pennsylvania,University of Pennsylvania
1283,257039,-,
1284,758347,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1285,968411,-,
1286,325556,IPADE Business School,IPADE Business School
1287,444638,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1288,60415,University of Michigan,University of Michigan
1289,181230,-,
1290,678531,-,
1291,368734,UC Irvine,"University of California, Irvine"
1292,214290,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
1293,742439,University of Milan-Bicocca,University of Milan - Bicocca
1294,533967,-,
1295,49315,Duke University,Duke University
1296,410087,-,
1297,528827,-,
1298,504996,-,
1299,196702,New York University,New York University
1300,196573,Sciences Po,Institut d'Etudes Politiques de Paris (Sciences Po)
1301,612329,Harvard University,Harvard University
1302,60639,-,
1303,938603,"Harvard University, John F. Kennedy School of Government",Harvard University - Kennedy School Of Government
1304,632365,-,
1305,622820,"University of California, Davis","University of California, Davis"
1306,659865,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
1307,772509,-,
1308,639740,Brown University,Brown University
1309,848549,-,
1310,420451,Northwestern University,Northwestern University
1311,966702,"University of California, Berkeley","University of California, Berkeley"
1312,192373,-,
1313,531178,Northwestern University,Northwestern University
1314,35487,Texas A&M University,Texas A&M University
1315,747568,-,
1316,146238,The University of Kansas,University of Kansas
1317,607540,Southern Methodist University - Cox School of Business,Southern Methodist University - Cox School Of Business
1318,708593,University of California,"University of California, Berkeley"
1319,74640,-,
1320,909135,-,
1321,835323,University of Pennsylvania,University of Pennsylvania
1322,552114,Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autonómo de México
1323,281119,University of Michigan,University of Michigan
1324,169031,Georgetown University,Georgetown University
1325,563513,University of Michigan,University of Michigan
1326,842092,-,
1327,403728,-,
1328,403138,Harvard University,Harvard University
1329,810654,-,
1330,174902,Duke University,Duke University
1331,978654,University of Oxford,University of Oxford
1332,842525,University of Maryland College Park,University of Maryland
1333,739763,Cornell University,Cornell University
1334,598080,-,
1335,585017,"University of California, Los Angeles","University of California, Los Angeles"
1336,159623,Rockhurst University,Rockhurst University
1337,971317,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
1338,901260,Stanford University,Stanford University
1339,313089,George Mason University,George Mason University
1340,423468,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1341,410150,"University of California, Santa Cruz","University of California, Santa Cruz"
1342,147622,-,
1343,745800,New York University,New York University
1344,401365,"University of California, Santa Barbara","University of California, Santa Barbara"
1345,911040,Boston College Law School,Boston College - Law School
1346,454968,-,
1347,906283,-,
1348,400084,University of Michigan - Stephen M. Ross School of Business,University of Michigan - Stephen M Ross School Of Business
1349,567314,-,
1350,955159,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1351,161207,-,
1352,578005,University of Minnesota,University of Minnesota
1353,992368,Caltech,California Institute of Technology
1354,260065,-,
1355,970629,Rutgers University–New Brunswick,Rutgers University
1356,906236,Pierre and Marie Curie University,Université Pierre et Marie Curie (Paris VI)
1357,763341,Pennsylvania State University,Pennsylvania State University
1358,316048,"University of California, Los Angeles","University of California, Los Angeles"
1359,286781,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1360,419122,The Johns Hopkins University,Johns Hopkins University
1361,922477,-,
1362,79787,The Chinese University of Hong Kong,Chinese University of Hong Kong
1363,735094,Princeton University,Princeton University
1364,634246,UC San Diego,"University of California, San Diego"
1365,732152,-,
1366,522133,Yonsei University,Yonsei University
1367,676474,-,
1368,877451,University of Massachusetts Amherst,University of Massachusetts at Amherst
1369,219650,Fielding Graduate University,Fielding Graduate University
1370,365476,Princeton University,Princeton University
1371,623184,MIT Sloan School of Management,Massachusetts Institute of Technology - Sloan School Of Management
1372,261662,-,
1373,222445,University of Wisconsin-Madison,University of Wisconsin - Madison
1374,365203,"University of California, Santa Barbara","University of California, Santa Barbara"
1375,462053,-,
1376,212983,The Johns Hopkins University - Carey Business School,Johns Hopkins University - Carey Business School
1377,844808,Columbia University in the City of New York,Columbia University
1378,487399,University of Oregon,University of Oregon
1379,682906,New York University,New York University
1380,876241,Columbia University - Columbia Business School,Columbia University - Business School
1381,43209,Harvard Kennedy School,Harvard University - Kennedy School
1382,115964,-,
1383,222770,Indiana University Bloomington,Indiana University at Bloomington
1384,369284,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1385,10051,Columbia University in the City of New York,Columbia University
1386,303028,-,
1387,566374,-,
1388,834821,Stanford University,Stanford University
1389,874161,UCL,University College London
1390,216020,-,
1391,927687,-,
1392,815370,"University of California, Berkeley","University of California, Berkeley"
1393,621256,Columbia University,Columbia University
1394,172664,-,
1395,28389,-,
1396,623272,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1397,421842,University of Washington,University of Washington
1398,896261,Duke University - The Fuqua School of Business,Duke University - The Fuqua School Of Business
1399,321583,London Business School,London Business School
1400,845870,New York University,New York University
1401,597763,UNIVERSITY OF CALIFORNIA – BERKELEY,"University of California, Berkeley"
1402,693102,-,
1403,305236,University of Delaware,University of Delaware
1404,975766,Cornell University,Cornell University
1405,795011,Princeton University,Princeton University
1406,140243,Imperial College London,Imperial College London
1407,899980,Columbia University - Columbia Business School,Columbia University - Business School
1408,308578,-,
1409,423750,-,
1410,663401,-,
1411,184991,Stanford University,Stanford University
1412,3635,-,
1413,200992,Harvard University,Harvard University
1414,180294,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1415,188956,Harvard University,Harvard University
1416,304957,-,
1417,766383,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1418,990101,University of Zurich,University of Zürich
1419,492708,University of Toronto,University of Toronto
1420,116738,-,
