,newid,Institution of highest degree obtained,name
159,224581,Massachusetts Institute of Technology,Massachusetts Institute of Technology
160,606110,Duke University - The Fuqua School of Business,Duke University - The Fuqua School Of Business
161,680575,-,
162,895741,New York University,New York University
163,128254,University of Florida,University of Florida
164,899575,-,
165,90719,Massachusetts Institute of Technology,Massachusetts Institute of Technology
166,64686,Columbia University in the City of New York,Columbia University
167,464283,"University of California, Berkeley","University of California, Berkeley"
168,575652,-,
169,580673,Yale University,Yale University
170,106263,Osaka University,Osaka University
171,31215,Columbia University in the City of New York,Columbia University
172,470323,UC Irvine,"University of California, Irvine"
173,34471,-,
174,836820,Arizona State University,Arizona State University
175,953384,"University of California, Berkeley","University of California, Berkeley"
176,675716,University of Washington,University of Washington
177,716499,-,
178,240185,Princeton University,Princeton University
179,467389,-,
180,548494,-,
181,945564,The Ohio State University,Ohio State University
182,742687,Princeton University,Princeton University
183,789665,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
184,569753,University of Minnesota-Twin Cities,University of Minnesota
185,755750,University of Maryland College Park,University of Maryland
186,419314,-,
187,703001,Northwestern University,Northwestern University
188,972265,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
189,312467,-,
190,319043,University of Wisconsin-Madison,University of Wisconsin - Madison
191,942164,University of Maryland College Park,University of Maryland
192,244130,"University of California, Davis","University of California, Davis"
193,316875,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
194,717214,-,
195,717711,University of Pennsylvania,University of Pennsylvania
196,576191,Princeton University,Princeton University
197,929314,Claremont Graduate University,Claremont Graduate University
198,32894,-,
199,435024,"University of California, Berkeley","University of California, Berkeley"
200,896965,The University of Texas at Austin,University of Texas
201,471489,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
202,525913,Yale University,Yale University
203,837335,-,
204,532010,-,
205,725879,-,
206,316714,University of Hamburg,University of Hamburg
207,467240,Johns Hopkins University Advanced Academic Programs,Johns Hopkins University
208,81624,Princeton University,Princeton University
209,12166,"University of Minnesota, Twin Cities",University of Minnesota
210,5021,Massachusetts Institute of Technology,Massachusetts Institute of Technology
211,495294,Princeton University,Princeton University
212,462447,University of Washington,University of Washington
213,333909,Clemson University,Clemson University
214,585932,University of Wisconsin-Madison,University of Wisconsin - Madison
215,434680,Harvard University,Harvard University
216,545247,Stanford University,Stanford University
217,1746,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
218,552751,Columbia University in the City of New York,Columbia University
219,253242,University of Minnesota,University of Minnesota
220,219989,-,
221,977166,Boston University,Boston University
222,420095,-,
223,378005,Harvard University,Harvard University
224,321798,Stanford University,Stanford University
225,52357,Catholic University of Sacred Heart,Catholic University of the Sacred Heart
226,310643,Harris School of Public Policy at the University of Chicago,University of Chicago - Harris School Of Public Policy
227,820805,-,
228,386273,-,
229,58178,Boston College,Boston College
230,685744,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
231,899019,-,
232,970569,The University of Texas School of Law,University of Texas - School Of Law
233,492388,-,
234,939468,University of Waterloo,University of Waterloo
235,696000,University of Wisconsin-Madison,University of Wisconsin - Madison
236,283827,-,
237,252880,New York University,New York University
238,884098,"University of California, San Diego","University of California, San Diego"
239,439363,-,
240,268874,University of Zurich,University of Zürich
241,539177,-,
242,606922,-,
243,681982,"University of California, Berkeley","University of California, Berkeley"
244,211345,Harvard University,Harvard University
245,792525,University of Wisconsin-Madison,University of Wisconsin - Madison
246,689702,Harvard University,Harvard University
247,845845,Harvard University,Harvard University
248,818440,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
249,227272,The University of Chicago,University of Chicago
250,67568,University of Oxford,University of Oxford
251,276861,-,
252,631240,"Wharton School, University of Pennsylvania",University of Pennsylvania - Wharton School
253,561873,"University of California, Berkeley, Haas School of Business","University of California, Berkeley - Haas School Of Business"
254,219404,The University of Texas at Austin,University of Texas
255,839631,-,
256,420148,-,
257,151271,-,
258,347871,Stanford University,Stanford University
259,530971,-,
260,937201,-,
261,52511,University of Michigan,University of Michigan
262,422382,Carnegie Mellon University,Carnegie Mellon University
263,128665,Penn State University,Pennsylvania State University
264,351188,Syracuse University,Syracuse University
265,354340,-,
266,905569,-,
267,390659,Cornell Johnson Graduate School of Management,Cornell University - Johnson Graduate School Of Management
268,916047,University of Maryland,University of Maryland
269,60151,Massachusetts Institute of Technology,Massachusetts Institute of Technology
270,191998,University of Colorado Boulder,University of Colorado at Boulder
271,834893,-,
272,55000,-,
273,130931,University of Illinois at Chicago,University of Illinois at Chicago
274,501240,-,
275,103956,University of Minnesota-Twin Cities,University of Minnesota
276,527190,Harris School of Public Policy at the University of Chicago,University of Chicago - Harris School Of Public Policy
277,962394,Yale University,Yale University
278,385590,NYU Stern School of Business,New York University - Stern School Of Business
279,654722,University of Pennsylvania,University of Pennsylvania
280,619700,-,
281,911855,Indiana University Bloomington,Indiana University at Bloomington
282,701825,The University of Texas at Austin,University of Texas
283,375143,-,
284,643201,-,
285,159830,Massachusetts Institute of Technology,Massachusetts Institute of Technology
286,289214,-,
287,840013,-,
288,159983,Northwestern University,Northwestern University
289,922976,New York University School of Law,New York University - School Of Law
290,401894,The Ohio State University,Ohio State University
291,618659,Princeton University,Princeton University
292,260944,"University of California, Berkeley","University of California, Berkeley"
293,517322,Princeton University,Princeton University
294,744281,Saint Louis University,Saint Louis University
295,252532,Catholic University of Louvain,Université catholique de Louvain
296,181697,UCLA,"University of California, Los Angeles"
297,716912,University of Maryland,University of Maryland
298,183480,Harvard University,Harvard University
299,84985,-,
300,637240,-,
301,880534,Columbia University in the City of New York,Columbia University
302,143025,-,
303,899341,Harvard University,Harvard University
304,199030,-,
305,928317,Michigan State University,Michigan State University
306,572612,Harvard University,Harvard University
307,972485,-,
308,941918,UNC Kenan-Flagler Business School,University of North Carolina - Kenanflagler Business School
309,408617,University of Wisconsin-Madison,University of Wisconsin - Madison
310,684782,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
311,149266,University of Southern California,University of Southern California
312,60972,-,
313,481345,Lomonosov Moscow State University (MSU),Moscow State University
314,536932,Cornell University,Cornell University
315,636452,-,
