newid,Institution of highest degree obtained
423468,The London School of Economics and Political Science (LSE)
410150,"University of California, Santa Cruz"
147622,-
745800,New York University
401365,"University of California, Santa Barbara"
911040,Boston College Law School
454968,-
906283,-
400084,University of Michigan - Stephen M. Ross School of Business
567314,-
955159,Massachusetts Institute of Technology
161207,-
578005,University of Minnesota
992368,Caltech
260065,-
970629,Rutgers University–New Brunswick
906236,Pierre and Marie Curie University
763341,Pennsylvania State University
316048,"University of California, Los Angeles"
286781,Massachusetts Institute of Technology
419122,The Johns Hopkins University
922477,-
79787,The Chinese University of Hong Kong
735094,Princeton University
634246,UC San Diego
732152,-
522133,Yonsei University
676474,-
877451,University of Massachusetts Amherst
219650,Fielding Graduate University
365476,Princeton University
623184,MIT Sloan School of Management
261662,-
222445,University of Wisconsin-Madison
365203,"University of California, Santa Barbara"
462053,-
212983,The Johns Hopkins University - Carey Business School
844808,Columbia University in the City of New York
487399,University of Oregon
682906,New York University
876241,Columbia University - Columbia Business School
43209,Harvard Kennedy School
115964,-
222770,Indiana University Bloomington
369284,London School of Economics and Political Science
10051,Columbia University in the City of New York
303028,-
566374,-
834821,Stanford University
874161,UCL
216020,-
927687,-
815370,"University of California, Berkeley"
621256,Columbia University
172664,-
28389,-
623272,University of Illinois at Urbana-Champaign
421842,University of Washington
896261,Duke University - The Fuqua School of Business
321583,London Business School
845870,New York University
597763,UNIVERSITY OF CALIFORNIA – BERKELEY
693102,-
305236,University of Delaware
975766,Cornell University
795011,Princeton University
140243,Imperial College London
899980,Columbia University - Columbia Business School
308578,-
423750,-
663401,-
184991,Stanford University
3635,-
200992,Harvard University
180294,The London School of Economics and Political Science (LSE)
188956,Harvard University
304957,-
766383,Massachusetts Institute of Technology
990101,University of Zurich
492708,University of Toronto
116738,-
380823,Columbia University in the City of New York
380236,"University of California, Los Angeles"
96245,Princeton University
347140,Stanford University
276283,"University of California, San Diego"
231938,-
891766,University of Wisconsin-Madison
934453,-
848408,-
397344,University of Michigan
63552,Cornell University
124442,"University of California, Davis"
775069,"CFA Institute, The Global Association of Investment Professionals"
724787,Duke University
268259,Princeton University
980371,-
458387,-
605643,University of Pennsylvania
49909,Stanford University
241268,-
78042,University of Illinois at Urbana-Champaign
381254,Northwestern University
680529,Maastricht University School of Business and Economics
433875,-
170732,London School of Economics and Political Science
310907,-
77816,-
921709,Columbia Business School
636311,-
626650,-
462548,-
39275,Paris 1 Panthéon-Sorbonne University
618990,-
595682,-
270581,Northwestern University
295604,The Ohio State University
574004,Harvard University
593977,-
410315,UC Irvine
342313,-
904470,"University of California, Berkeley"
130526,-
609850,Cornell University
354305,Johannes Gutenberg University Mainz
311060,Rutgers University
787163,Massachusetts Institute of Technology
515076,-
114820,-
601157,-
543865,-
546867,Harvard University
931562,University of Minnesota
670205,Santa Barbara City College
610123,-
314132,-
843002,Columbia University in the City of New York
240539,-
424370,The George Washington University
660895,The University of Chicago
320461,Princeton University
986726,-
863209,Massachusetts Institute of Technology
496751,Georgetown University
513743,Université Paris-Saclay
556121,"University of California, Irvine"
797160,-
344317,-
175933,Vanderbilt University
620225,University of Michigan
873808,Stanford University
441466,Seoul National University
266273,-
435797,"University of California, Berkeley"
352962,University of Cincinnati College of Business
596171,UCL
70627,Fundação Getulio Vargas
930534,Northwestern University
787199,-
290912,"University of California, Berkeley"
836400,Stanford University
303857,University of Michigan
966750,University of California - Los Angeles
16862,Columbia University in the City of New York
718970,Harvard University
985052,The George Washington University
327970,The University of Texas at Austin
467041,Indiana University Bloomington
295868,-
287380,Tilburg University
475690,Harvard University
501477,"University of California, Berkeley"
971786,Aalto University
503251,Toulouse School of Economics
398198,New York University
377112,Rice University
386595,-
83529,"University of California, Berkeley"
671179,University of Geneva
360508,Princeton University
317744,Columbia University - Columbia Business School
788371,Universitat Pompeu Fabra
893623,-
754696,Massachusetts Institute of Technology
560687,The London School of Economics and Political Science (LSE)
572245,University of Southern California
428346,New York University
38225,Penn State University
425070,Duke University
514506,-
987657,-
878283,Columbia University in the City of New York
285183,University of Minnesota
313073,The Pennsylvania State University
179864,-
432085,Instituto Tecnológico Autónomo de México
549467,UCL
971199,-
444832,-
345186,Vanderbilt University
313454,Supply Chain Management
336932,-
226141,Arizona State University
522227,NYU Stern School of Business
421124,University of Maryland College Park
685259,University of Pennsylvania - The Wharton School
73140,University of Minnesota
621053,-
814607,-
397841,Harvard University
969447,Columbia University in the City of New York
826463,The University of Texas at Austin
365017,-
688520,University of Minnesota-Twin Cities
586126,NYU Stern School of Business
363002,University of California Los Angeles (Anderson School)
63298,-
906389,University of Pennsylvania
515669,Texas Tech University
983285,-
954271,University of Wisconsin-Madison
309727,"University of California, Berkeley"
880586,London School of Economics and Political Science
474,Stanford University
798937,"University of California, Berkeley"
405506,-
471130,-
523976,Columbia University in the City of New York
930691,-
578854,University of Maryland
178131,Northwestern University
342210,Harvard University
750767,Yale University
645898,-
680139,Yale University
479060,University of Pennsylvania - The Wharton School
10168,Stanford University
942688,New York University Stern School  of Business
943991,The London School of Economics and Political Science (LSE)
673939,NYU Stern School of Business
224855,-
143356,The Ohio State University
161659,Renmin University of China
373584,-
19901,-
995232,University of Washington
157727,-
666645,-
323908,Boston University
687870,-
728833,-
523208,New York University
731113,-
758102,Florida State University
878083,Columbia University in the City of New York
807763,University of Cambridge
836504,Massachusetts Institute of Technology
53392,Columbia University
278594,-
688724,Stanford University
56003,Harvard University
899938,-
622540,University of Virginia
412842,Georgetown University
648915,-
332568,University of North Carolina at Chapel Hill
137517,Universitat Pompeu Fabra
893220,University of Pennsylvania
887011,University of Toronto
786641,-
963780,NYU Stern School of Business
601808,-
668476,University of Utah - David Eccles School of Business
481044,-
621222,Harvard University
578343,Boston University
397594,Harvard University
164134,University of Notre Dame
182374,West Virginia University
714206,University of Michigan School of Public Health
286423,-
722083,Boston University
828260,Carnegie Mellon University
482942,Washington University in St. Louis
760414,-
257435,-
447527,European University Institute
953266,University of Southern California - Marshall School of Business
144436,"University of California, Berkeley"
382662,"University of California, Berkeley - School of Law"
975494,Syracuse University
365059,-
63673,University of California
576973,London School of Economics
367011,University of Pennsylvania
774553,-
479056,-
847258,"University of California, Los Angeles"
823416,Indira Gandhi National Open University
892752,University of Southern California
625451,The Ohio State University
245925,"University of California, San Diego"
678211,-
569716,The Wharton School
777127,-
639550,Duke University
133616,Columbia University
162932,Massachusetts Institute of Technology
653441,London School of Economics
32848,Stanford University
525009,-
320559,University of Chicago
24456,-
994245,"University of California, Berkeley"
499308,-
392500,Northwestern University
826977,Columbia University in the City of New York
469597,-
314257,Duke University
819542,Princeton University
504821,-
170945,University of Virginia
357384,UT Health San Antonio
774279,Rice University
996031,Université Lumière Lyon 2
406740,Princeton University
823207,-
415798,Indiana University
280927,Columbia University
643314,University of Michigan
882114,University of York
502511,Washington University in St. Louis
320304,-
647692,Monash University
25025,Harvard University
370420,Yale University
359467,-
246744,-
533626,University of Cambridge
712319,-
181183,Stanford University
449286,University of Chicago Law School
208227,University of Rochester
740521,University of Oxford
632500,London School of Economics
623344,London Business School
798000,Cornell University
996025,-
788321,Saint Louis University
239128,-
135606,"University of California, Berkeley"
602549,Harvard University
862205,The Hong Kong University of Science and Technology
476451,The University of Toledo
859773,The University of Iowa Tippie College of Business
462872,-
577279,The Ohio State University
509177,University of Wisconsin-Madison
176690,-
115363,UC Santa Barbara
205777,University of Toronto - Rotman School of Management
807022,European University Institute
3088,Northwestern University
279995,Monash University
143698,HKUST Business School
881533,Smith School of Business at Queen's University
249981,"University of California, Los Angeles"
791039,-
806795,University of London
99467,-
695066,-
828274,NYU Stern School of Business
250647,-
343010,Massachusetts Institute of Technology
680043,Yale University
859603,Columbia University in the City of New York
956794,-
7307,"University of California, Berkeley"
989601,-
172785,Northwestern University
512952,-
134322,-
728838,The University of Chicago Booth School of Business
60229,Stanford University
641111,Northwestern University - Kellogg School of Management
536638,Yale University
512756,University of Michigan
743896,Yale University
909796,Columbia University
433987,-
79311,University of Pennsylvania
186769,Stanford University
974476,Michigan State University
186426,University of Wisconsin-Madison
835183,The Australian National University
341656,-
584928,University of Virginia
518753,University of Oxford
415572,-
498724,-
866087,University of Michigan - Stephen M. Ross School of Business
105656,European Academy
921170,Vanderbilt University
849087,-
786610,Bilkent University
141539,University of Minnesota Law School
136547,-
